J0005-28 fluxes
lambda ID	Norm.flux
3711.98	1.628
3721.95	2.901
3726.03	57.851
3728.81	79.835
3734.37	2.066
3750.15	2.934
3770.63	3.802
3797.9	4.785
3835.38	6.95
3867.48	34.959
3889.05	18.843
3967.79	10.744
3970.07	13.802
4026.19	1.298
4068.6	1.231
4101.73	24.628
4340.46	45.785
4363.21	7.967
4387.8	0.318
4471.47	3.157
4658.01	0.55
4685.71	0.753
4711.9	0.959
4740.16	0.621
4861.32	100
4921.93	0.565
4958.91	146.281
4987.33	0.769
5006.73	435.537
5015.68	1.876
5047.74	0.117
5158.77	0.18
5197.9	0.642
5270.4	0.181
5425.27	0.13
5517.66	0.412
5537.6	0.151
5875.66	8.926
6300.3	3.008
6312.1	1.595
6363.78	7.909
6548.04	2.694
6562.8	309.091
6583.46	5.463
6678.15	2.702
6716.44	14.463
6730.81	10.413
