 Castelli and Kurucz 2004-2012 Atmosphere
 T     37000.     G    5.00000 [-1.5a] N(He)/Ntot=0.0784 VTURB=2.0  L/H=1.25 OD
 Wavelength  Eddington Hnu
   (nm)    (ergs/s/cm2/Hz/sr)
  9.0900      1.10830E-26
  9.3500      4.76090E-26
  9.6100      1.90090E-25
  9.7700      4.31210E-25
  9.9600      1.10470E-24
  10.200      3.46180E-24
  10.380      7.90500E-24
  10.560      1.75880E-23
  10.770      4.33360E-23
  11.040      1.31840E-22
  11.400      5.38740E-22
  11.780      2.18620E-21
  12.130      7.38370E-21
  12.480      2.33670E-20
  12.710      4.82290E-20
  12.840      7.18530E-20
  13.050      1.34650E-19
  13.240      2.33890E-19
  13.390      3.57930E-19
  13.660      7.53480E-19
  13.980      1.75890E-18
  14.330      4.26600E-18
  14.720      1.09180E-17
  15.100      2.61500E-17
  15.520      6.54700E-17
  15.880      1.38710E-16
  16.200      2.63510E-16
  16.600      5.69260E-16
  17.030      1.25410E-15
  17.340      2.16750E-15
  17.680      3.86930E-15
  18.020      6.76800E-15
  18.170      8.60860E-15
  18.610      1.70860E-14
  19.100      3.54090E-14
  19.390      5.36150E-14
  19.840      9.98400E-14
  20.180      1.56960E-13
  20.500      2.37200E-13
  21.050      4.69380E-13
  21.620      9.19540E-13
  21.980      1.38280E-12
  22.300      1.96690E-12
  22.680      2.94770E-12
  23.000      6.48150E-10
  23.400      3.69700E-09
  24.000      1.16530E-08
  24.650      3.70200E-08
  25.240      9.07140E-08
  25.680      7.20800E-08
  26.000      2.49300E-07
  26.400      6.57950E-07
  26.850      1.22360E-06
  27.350      1.66420E-06
  27.850      1.57780E-06
  28.400      3.05620E-06
  29.000      3.50810E-06
  29.600      2.36820E-06
  30.100      6.58650E-07
  30.800      2.15010E-06
  31.800      4.68420E-06
  32.800      5.81570E-06
  33.800      6.50070E-06
  34.800      7.82380E-06
  35.700      9.94720E-06
  36.600      1.26770E-05
  37.500      1.36470E-05
  38.500      1.49780E-05
  39.500      1.75440E-05
  40.500      1.96460E-05
  41.400      2.18670E-05
  42.200      2.28880E-05
  43.000      2.44610E-05
  44.100      2.82400E-05
  45.100      3.16380E-05
  46.000      3.39400E-05
  47.000      3.80960E-05
  48.000      4.25940E-05
  49.000      4.57120E-05
  50.000      5.24470E-05
  50.600      1.14200E-04
  51.200      3.38170E-04
  52.000      3.31400E-04
  53.000      3.35400E-04
  54.000      3.15560E-04
  55.000      3.39930E-04
  56.000      3.90000E-04
  57.000      4.04940E-04
  58.000      3.95540E-04
  59.000      4.20100E-04
  60.000      4.07560E-04
  61.000      4.24300E-04
  62.000      4.66380E-04
  63.000      4.74150E-04
  64.000      4.85400E-04
  65.000      4.91330E-04
  65.800      4.78770E-04
  66.500      5.03880E-04
  67.500      5.29520E-04
  68.500      5.12420E-04
  69.500      5.50330E-04
  70.500      5.30330E-04
  71.600      5.80630E-04
  72.600      5.90510E-04
  73.500      6.07410E-04
  74.500      6.06300E-04
  75.500      6.14140E-04
  76.500      6.22470E-04
  77.500      6.38150E-04
  78.500      6.53360E-04
  79.500      6.64540E-04
  80.500      6.71200E-04
  81.500      6.86280E-04
  82.500      7.04720E-04
  83.500      6.71470E-04
  84.500      7.22040E-04
  85.500      7.30090E-04
  86.500      7.48780E-04
  87.500      7.59180E-04
  88.500      7.69330E-04
  89.500      7.79990E-04
  90.500      7.82820E-04
  91.500      7.25510E-04
  92.500      1.43040E-03
  93.500      2.07800E-03
  94.500      3.03390E-03
  95.500      3.44600E-03
  96.500      4.26720E-03
  97.500      2.85190E-03
  98.500      4.30220E-03
  99.500      3.97640E-03
  100.50      4.24850E-03
  101.50      4.25580E-03
  102.50      2.92100E-03
  103.50      4.16550E-03
  104.50      4.34300E-03
  105.50      4.32350E-03
  106.50      4.15960E-03
  107.50      4.17890E-03
  108.50      3.89630E-03
  109.50      4.18880E-03
  110.50      4.10010E-03
  111.50      4.07190E-03
  112.50      3.89330E-03
  113.50      4.04450E-03
  114.50      3.99310E-03
  115.50      3.92780E-03
  116.50      3.91050E-03
  117.50      3.50960E-03
  118.50      3.78860E-03
  119.50      3.77020E-03
  120.50      3.65800E-03
  121.50      2.62300E-03
  122.50      3.62660E-03
  123.50      3.70130E-03
  124.50      3.65340E-03
  125.50      3.68100E-03
  126.50      3.66890E-03
  127.50      3.65070E-03
  128.50      3.63100E-03
  129.50      3.53240E-03
  130.50      3.53470E-03
  131.50      3.55190E-03
  132.50      3.51050E-03
  133.50      3.46810E-03
  134.50      3.46620E-03
  135.50      3.43700E-03
  136.50      3.39840E-03
  137.50      3.36470E-03
  138.50      3.34560E-03
  139.50      3.20250E-03
  140.50      3.18350E-03
  141.50      3.26860E-03
  142.50      3.19800E-03
  143.50      3.21910E-03
  144.20      3.20420E-03
  144.70      3.19050E-03
  145.50      3.15860E-03
  146.50      3.14360E-03
  147.50      3.11700E-03
  148.50      3.11280E-03
  149.50      3.07860E-03
  150.50      3.06150E-03
  151.20      3.05650E-03
  151.70      3.03540E-03
  152.50      3.00600E-03
  153.50      2.91810E-03
  154.50      2.80390E-03
  155.50      2.80550E-03
  156.50      2.83980E-03
  157.50      2.85580E-03
  158.50      2.85370E-03
  159.50      2.83590E-03
  160.50      2.76320E-03
  161.50      2.72890E-03
  162.50      2.71050E-03
  163.50      2.67150E-03
  164.50      2.56810E-03
  165.50      2.71220E-03
  166.50      2.68900E-03
  167.20      2.64620E-03
  167.70      2.70540E-03
  168.50      2.68130E-03
  169.50      2.66270E-03
  170.50      2.63570E-03
  171.50      2.58760E-03
  172.50      2.56680E-03
  173.50      2.60200E-03
  174.50      2.57870E-03
  175.50      2.55150E-03
  176.50      2.54560E-03
  177.50      2.53210E-03
  178.50      2.51880E-03
  179.50      2.49530E-03
  180.50      2.48400E-03
  181.50      2.46640E-03
  182.50      2.44680E-03
  183.50      2.43850E-03
  184.50      2.41540E-03
  185.50      2.39410E-03
  186.50      2.37830E-03
  187.50      2.36320E-03
  188.50      2.34630E-03
  189.50      2.33500E-03
  190.50      2.32700E-03
  191.50      2.30620E-03
  192.50      2.26830E-03
  193.50      2.27930E-03
  194.50      2.26790E-03
  195.50      2.24330E-03
  196.70      2.23390E-03
  197.60      2.22340E-03
  198.40      2.20950E-03
  199.50      2.19060E-03
  200.50      2.18240E-03
  201.50      2.16880E-03
  202.50      2.15470E-03
  203.50      2.14010E-03
  204.50      2.12580E-03
  205.50      1.71710E-03
  206.50      1.66490E-03
  207.40      1.67760E-03
  207.80      1.69870E-03
  208.50      1.76370E-03
  209.50      1.91260E-03
  210.50      2.02770E-03
  211.50      2.03920E-03
  212.50      2.02230E-03
  213.50      2.01170E-03
  214.50      2.00090E-03
  215.50      2.00560E-03
  216.50      1.95510E-03
  217.50      1.99280E-03
  218.50      1.93250E-03
  219.50      1.96940E-03
  220.50      1.96100E-03
  221.50      1.89050E-03
  222.50      1.93600E-03
  223.50      1.92590E-03
  224.50      1.91080E-03
  225.50      1.84320E-03
  226.50      1.88960E-03
  227.50      1.87860E-03
  228.50      1.86210E-03
  229.50      1.82770E-03
  230.50      1.78750E-03
  231.50      1.82880E-03
  232.50      1.82100E-03
  233.50      1.81010E-03
  234.50      1.79910E-03
  235.50      1.78800E-03
  236.50      1.77710E-03
  237.50      1.76550E-03
  238.50      1.69980E-03
  239.50      1.73760E-03
  240.50      1.73450E-03
  241.50      1.72330E-03
  242.50      1.71400E-03
  243.50      1.70300E-03
  244.50      1.69350E-03
  245.50      1.68190E-03
  246.50      1.67370E-03
  247.50      1.66390E-03
  248.50      1.65390E-03
  249.50      1.56590E-03
  250.50      1.62670E-03
  251.30      1.53110E-03
  251.80      1.60230E-03
  252.50      1.61530E-03
  253.50      1.60680E-03
  254.50      1.59690E-03
  255.50      1.58750E-03
  256.50      1.57900E-03
  257.50      1.57010E-03
  258.50      1.56130E-03
  259.50      1.55090E-03
  260.50      1.54630E-03
  261.50      1.53690E-03
  262.50      1.52880E-03
  263.50      1.52020E-03
  264.50      1.51120E-03
  265.50      1.50250E-03
  266.50      1.49270E-03
  267.50      1.48200E-03
  268.50      1.47780E-03
  269.50      1.46570E-03
  270.50      1.46190E-03
  271.50      1.45350E-03
  272.50      1.43980E-03
  273.50      1.40110E-03
  274.50      1.42990E-03
  275.50      1.42200E-03
  276.50      1.40840E-03
  277.50      1.40680E-03
  278.50      1.39890E-03
  279.50      1.38700E-03
  280.50      1.38310E-03
  281.50      1.37650E-03
  282.50      1.36270E-03
  283.50      1.35810E-03
  284.50      1.35480E-03
  285.50      1.34740E-03
  286.50      1.34010E-03
  287.50      1.33300E-03
  288.50      1.32610E-03
  289.50      1.31900E-03
  291.00      1.30820E-03
  293.00      1.29510E-03
  295.00      1.27620E-03
  297.00      1.26790E-03
  299.00      1.25390E-03
  301.00      1.24150E-03
  303.00      1.22760E-03
  305.00      1.21590E-03
  307.00      1.20500E-03
  309.00      1.19160E-03
  311.00      1.18050E-03
  313.00      1.16880E-03
  315.00      1.15720E-03
  317.00      1.14580E-03
  319.00      1.12890E-03
  321.00      1.11070E-03
  323.00      1.11320E-03
  325.00      1.10260E-03
  327.00      1.09040E-03
  329.00      1.08100E-03
  331.00      1.07140E-03
  333.00      1.06110E-03
  335.00      1.04960E-03
  337.00      1.04130E-03
  339.00      1.03200E-03
  341.00      1.02230E-03
  343.00      1.01120E-03
  345.00      9.99520E-04
  347.00      9.92320E-04
  349.00      9.83360E-04
  351.00      9.74820E-04
  353.00      9.66980E-04
  355.00      9.57550E-04
