 Castelli and Kurucz 2004-2012 Atmosphere
 T     48000.     G    5.00000 [-2.5a] N(He)/Ntot=0.0784 VTURB=2  L/H=1.25 NOVE
 Wavelength  Eddington Hnu
   (nm)    (ergs/s/cm2/Hz/sr)
  9.0900      8.42680E-19
  9.3500      2.38910E-18
  9.6100      6.41120E-18
  9.7700      1.14900E-17
  9.9600      2.24300E-17
  10.200      5.04920E-17
  10.380      9.06990E-17
  10.560      1.59910E-16
  10.770      3.02990E-16
  11.040      6.66420E-16
  11.400      1.80530E-15
  11.780      4.86620E-15
  12.130      1.15240E-14
  12.480      2.60850E-14
  12.710      4.36160E-14
  12.840      5.78930E-14
  13.050      9.04150E-14
  13.240      1.33820E-13
  13.390      1.81020E-13
  13.660      3.07110E-13
  13.980      5.60860E-13
  14.330      1.05250E-12
  14.720      2.04960E-12
  15.100      3.81320E-12
  15.520      7.31180E-12
  15.880      1.24480E-11
  16.200      1.96230E-11
  16.600      3.38160E-11
  17.030      5.89700E-11
  17.340      8.66600E-11
  17.680      1.30370E-10
  18.020      1.93030E-10
  18.170      2.27810E-10
  18.610      3.68840E-10
  19.100      6.12710E-10
  19.390      8.18430E-10
  19.840      1.25980E-09
  20.180      1.72350E-09
  20.500      2.29250E-09
  21.050      3.66910E-09
  21.620      5.82380E-09
  21.980      7.70160E-09
  22.300      9.79520E-09
  22.680      1.29090E-08
  23.000      2.29930E-07
  23.400      1.19750E-06
  24.000      1.39430E-05
  24.650      1.10690E-04
  25.240      2.43810E-04
  25.680      1.60080E-04
  26.000      3.88270E-04
  26.400      5.03630E-04
  26.850      5.82690E-04
  27.350      6.75590E-04
  27.850      7.10270E-04
  28.400      7.87800E-04
  29.000      8.68470E-04
  29.600      7.94970E-04
  30.100      3.74030E-04
  30.800      5.32070E-04
  31.800      8.62960E-04
  32.800      9.56620E-04
  33.800      9.66560E-04
  34.800      1.01540E-03
  35.700      1.15620E-03
  36.600      1.25370E-03
  37.500      1.29880E-03
  38.500      1.25300E-03
  39.500      1.40260E-03
  40.500      1.49080E-03
  41.400      1.53030E-03
  42.200      1.52800E-03
  43.000      1.56930E-03
  44.100      1.65290E-03
  45.100      1.69090E-03
  46.000      1.68940E-03
  47.000      1.71730E-03
  48.000      1.78200E-03
  49.000      1.76840E-03
  50.000      1.86590E-03
  50.600      1.84870E-03
  51.200      2.07620E-03
  52.000      2.08860E-03
  53.000      2.14730E-03
  54.000      2.10910E-03
  55.000      2.10790E-03
  56.000      2.23700E-03
  57.000      2.29590E-03
  58.000      2.29940E-03
  59.000      2.35840E-03
  60.000      2.34950E-03
  61.000      2.32410E-03
  62.000      2.40980E-03
  63.000      2.41840E-03
  64.000      2.48360E-03
  65.000      2.48110E-03
  65.800      2.44900E-03
  66.500      2.52980E-03
  67.500      2.56900E-03
  68.500      2.54010E-03
  69.500      2.61580E-03
  70.500      2.55760E-03
  71.600      2.65430E-03
  72.600      2.68510E-03
  73.500      2.70240E-03
  74.500      2.70790E-03
  75.500      2.71330E-03
  76.500      2.70340E-03
  77.500      2.75820E-03
  78.500      2.74490E-03
  79.500      2.76660E-03
  80.500      2.79860E-03
  81.500      2.81470E-03
  82.500      2.83910E-03
  83.500      2.77920E-03
  84.500      2.85610E-03
  85.500      2.84780E-03
  86.500      2.88480E-03
  87.500      2.89960E-03
  88.500      2.90490E-03
  89.500      2.91180E-03
  90.500      2.89190E-03
  91.500      2.26310E-03
  92.500      3.58100E-03
  93.500      4.48080E-03
  94.500      5.56830E-03
  95.500      6.06220E-03
  96.500      6.92830E-03
  97.500      5.64930E-03
  98.500      6.92650E-03
  99.500      6.48870E-03
  100.50      6.89900E-03
  101.50      6.80740E-03
  102.50      5.46760E-03
  103.50      6.68110E-03
  104.50      6.71580E-03
  105.50      6.66840E-03
  106.50      6.55520E-03
  107.50      6.53570E-03
  108.50      6.15710E-03
  109.50      6.44890E-03
  110.50      6.38190E-03
  111.50      6.32520E-03
  112.50      6.22000E-03
  113.50      6.23760E-03
  114.50      6.18640E-03
  115.50      6.10740E-03
  116.50      6.05210E-03
  117.50      5.85060E-03
  118.50      5.97410E-03
  119.50      5.90710E-03
  120.50      5.84020E-03
  121.50      4.79230E-03
  122.50      5.72940E-03
  123.50      5.68280E-03
  124.50      5.63500E-03
  125.50      5.63860E-03
  126.50      5.59150E-03
  127.50      5.54510E-03
  128.50      5.49880E-03
  129.50      5.45280E-03
  130.50      5.40530E-03
  131.50      5.36120E-03
  132.50      5.31290E-03
  133.50      5.27270E-03
  134.50      5.23110E-03
  135.50      5.18310E-03
  136.50      5.13310E-03
  137.50      5.06470E-03
