 Castelli and Kurucz 2004-2012 Atmosphere
 T     37000.     G    5.00000 [-4.0a] N(He)/Ntot=0.089 VTURB=2.0  L/H=1.25 NOV
 Wavelength  Eddington Hnu
   (nm)    (ergs/s/cm2/Hz/sr)
  9.0900      1.65280E-24
  9.3500      7.80710E-24
  9.6100      3.38920E-23
  9.7700      8.04200E-23
  9.9600      2.16410E-22
  10.200      7.16470E-22
  10.380      1.69510E-21
  10.560      3.89260E-21
  10.770      9.90630E-21
  11.040      3.12220E-20
  11.400      1.32360E-19
  11.780      5.51450E-19
  12.130      1.89320E-18
  12.480      6.05450E-18
  12.710      1.25390E-17
  12.840      1.87000E-17
  13.050      3.50530E-17
  13.240      6.08050E-17
  13.390      9.28650E-17
  13.660      1.94280E-16
  13.980      4.48510E-16
  14.330      1.07150E-15
  14.720      2.68820E-15
  15.100      6.28190E-15
  15.520      1.52650E-14
  15.880      3.14310E-14
  16.200      5.80710E-14
  16.600      1.20820E-13
  17.030      2.55120E-13
  17.340      4.26860E-13
  17.680      7.34540E-13
  18.020      1.23710E-12
  18.170      1.54680E-12
  18.610      2.91500E-12
  19.100      5.69380E-12
  19.390      8.32100E-12
  19.840      1.46480E-11
  20.180      2.20620E-11
  20.500      3.20130E-11
  21.050      5.90280E-11
  21.620      1.07470E-10
  21.980      1.54270E-10
  22.300      2.10520E-10
  22.680      3.00820E-10
  23.000      9.56740E-10
  23.400      3.96600E-09
  24.000      1.64410E-08
  24.650      8.37050E-08
  25.240      2.19080E-07
  25.680      1.46020E-07
  26.000      7.36710E-07
  26.400      1.32690E-06
  26.850      2.26720E-06
  27.350      3.26530E-06
  27.850      4.14640E-06
  28.400      5.15390E-06
  29.000      5.74170E-06
  29.600      4.37350E-06
  30.100      9.45300E-07
  30.800      2.71740E-06
  31.800      7.86400E-06
  32.800      9.40880E-06
  33.800      9.71030E-06
  34.800      1.08610E-05
  35.700      1.13240E-05
  36.600      1.22900E-05
  37.500      1.30920E-05
  38.500      1.43960E-05
  39.500      1.59400E-05
  40.500      1.78330E-05
  41.400      1.97270E-05
  42.200      2.15410E-05
  43.000      2.35930E-05
  44.100      2.69240E-05
  45.100      3.02090E-05
  46.000      3.33650E-05
  47.000      3.75310E-05
  48.000      4.19420E-05
  49.000      4.65230E-05
  50.000      5.19790E-05
  50.600      1.38530E-04
  51.200      3.25260E-04
  52.000      3.33340E-04
  53.000      3.58780E-04
  54.000      3.54830E-04
  55.000      3.75200E-04
  56.000      3.89070E-04
  57.000      3.99100E-04
  58.000      3.98570E-04
  59.000      4.19180E-04
  60.000      4.26090E-04
  61.000      4.36840E-04
  62.000      4.50690E-04
  63.000      4.60940E-04
  64.000      4.72210E-04
  65.000      4.82800E-04
  65.800      4.88030E-04
  66.500      4.98040E-04
  67.500      5.11460E-04
  68.500      5.18120E-04
  69.500      5.34390E-04
  70.500      5.38280E-04
  71.600      5.58390E-04
  72.600      5.70140E-04
  73.500      5.80570E-04
  74.500      5.91530E-04
  75.500      6.02690E-04
  76.500      6.12860E-04
  77.500      6.26660E-04
  78.500      6.37690E-04
  79.500      6.49380E-04
  80.500      6.60860E-04
  81.500      6.72670E-04
  82.500      6.84550E-04
  83.500      6.85150E-04
  84.500      7.07150E-04
  85.500      7.18150E-04
  86.500      7.29410E-04
  87.500      7.40370E-04
  88.500      7.51240E-04
  89.500      7.62020E-04
  90.500      7.70880E-04
  91.500      7.22710E-04
  92.500      1.42650E-03
  93.500      2.01730E-03
  94.500      2.95850E-03
  95.500      3.34610E-03
  96.500      4.10150E-03
  97.500      2.99040E-03
  98.500      4.27330E-03
  99.500      3.96120E-03
  100.50      4.28270E-03
  101.50      4.19480E-03
  102.50      2.85080E-03
  103.50      4.10170E-03
  104.50      4.17490E-03
  105.50      4.15890E-03
  106.50      4.11960E-03
  107.50      4.09120E-03
  108.50      3.79920E-03
  109.50      4.04250E-03
  110.50      4.01570E-03
  111.50      3.98630E-03
  112.50      3.92690E-03
  113.50      3.93170E-03
  114.50      3.90440E-03
  115.50      3.87510E-03
  116.50      3.84910E-03
  117.50      3.69600E-03
  118.50      3.79400E-03
  119.50      3.75730E-03
  120.50      3.67470E-03
  121.50      2.61030E-03
  122.50      3.59730E-03
  123.50      3.64320E-03
  124.50      3.62370E-03
  125.50      3.60360E-03
  126.50      3.57770E-03
  127.50      3.55200E-03
  128.50      3.52660E-03
  129.50      3.50070E-03
  130.50      3.47630E-03
  131.50      3.45140E-03
  132.50      3.42640E-03
  133.50      3.40070E-03
  134.50      3.37580E-03
  135.50      3.35100E-03
  136.50      3.32660E-03
  137.50      3.30180E-03
  138.50      3.27790E-03
  139.50      3.23140E-03
  140.50      3.21580E-03
  141.50      3.20740E-03
  142.50      3.18380E-03
  143.50      3.16090E-03
  144.20      3.14500E-03
  144.70      3.13370E-03
  145.50      3.11580E-03
  146.50      3.09360E-03
  147.50      3.07140E-03
  148.50      3.04920E-03
  149.50      3.02730E-03
  150.50      3.00570E-03
  151.20      2.99070E-03
  151.70      2.98000E-03
  152.50      2.96300E-03
  153.50      2.94180E-03
  154.50      2.88960E-03
  155.50      2.87230E-03
  156.50      2.88030E-03
  157.50      2.86040E-03
  158.50      2.84030E-03
  159.50      2.82020E-03
  160.50      2.80000E-03
  161.50      2.78010E-03
  162.50      2.75940E-03
  163.50      2.67890E-03
  164.50      2.55240E-03
  165.50      2.70190E-03
  166.50      2.68340E-03
  167.20      2.67030E-03
  167.70      2.66130E-03
  168.50      2.64650E-03
  169.50      2.62850E-03
  170.50      2.61060E-03
  171.50      2.59130E-03
  172.50      2.57520E-03
  173.50      2.55860E-03
  174.50      2.54150E-03
  175.50      2.52450E-03
  176.50      2.50730E-03
  177.50      2.49000E-03
  178.50      2.47300E-03
  179.50      2.45620E-03
  180.50      2.43970E-03
  181.50      2.42330E-03
  182.50      2.40690E-03
  183.50      2.39080E-03
  184.50      2.37470E-03
  185.50      2.35880E-03
  186.50      2.34320E-03
  187.50      2.32780E-03
  188.50      2.31260E-03
  189.50      2.29740E-03
  190.50      2.28240E-03
  191.50      2.26750E-03
  192.50      2.25270E-03
  193.50      2.23820E-03
  194.50      2.22360E-03
  195.50      2.20900E-03
  196.70      2.19190E-03
  197.60      2.17910E-03
  198.40      2.16790E-03
  199.50      2.15270E-03
  200.50      2.13900E-03
  201.50      2.12550E-03
  202.50      2.11220E-03
  203.50      2.09910E-03
  204.50      2.08600E-03
  205.50      1.70570E-03
  206.50      1.65810E-03
  207.40      1.66670E-03
  207.80      1.69010E-03
  208.50      1.74960E-03
  209.50      1.89160E-03
  210.50      1.99420E-03
  211.50      2.00100E-03
  212.50      1.99010E-03
  213.50      1.97430E-03
  214.50      1.96390E-03
  215.50      1.96690E-03
  216.50      1.92720E-03
  217.50      1.95360E-03
  218.50      1.89870E-03
  219.50      1.93020E-03
  220.50      1.92180E-03
  221.50      1.85770E-03
  222.50      1.89780E-03
  223.50      1.88740E-03
  224.50      1.87330E-03
  225.50      1.81130E-03
  226.50      1.85250E-03
  227.50      1.84110E-03
  228.50      1.82990E-03
  229.50      1.81430E-03
  230.50      1.75760E-03
  231.50      1.79490E-03
  232.50      1.78610E-03
  233.50      1.77540E-03
  234.50      1.76490E-03
  235.50      1.75440E-03
  236.50      1.74410E-03
  237.50      1.73380E-03
  238.50      1.67720E-03
  239.50      1.71260E-03
  240.50      1.70330E-03
  241.50      1.69330E-03
  242.50      1.68330E-03
  243.50      1.67340E-03
  244.50      1.66360E-03
  245.50      1.65390E-03
  246.50      1.64420E-03
  247.50      1.63460E-03
  248.50      1.62510E-03
  249.50      1.60220E-03
  250.50      1.60060E-03
  251.30      1.51200E-03
  251.80      1.59260E-03
  252.50      1.58790E-03
  253.50      1.57890E-03
  254.50      1.57000E-03
  255.50      1.56120E-03
  256.50      1.55240E-03
  257.50      1.54370E-03
  258.50      1.53510E-03
  259.50      1.52660E-03
  260.50      1.52080E-03
  261.50      1.51230E-03
  262.50      1.50390E-03
  263.50      1.49550E-03
  264.50      1.48690E-03
  265.50      1.47810E-03
  266.50      1.46910E-03
  267.50      1.46000E-03
  268.50      1.45450E-03
  269.50      1.44290E-03
  270.50      1.43860E-03
  271.50      1.43070E-03
  272.50      1.41780E-03
  273.50      1.38220E-03
  274.50      1.40760E-03
  275.50      1.40000E-03
  276.50      1.38680E-03
  277.50      1.38510E-03
  278.50      1.37780E-03
  279.50      1.37050E-03
  280.50      1.36320E-03
  281.50      1.35600E-03
  282.50      1.34250E-03
  283.50      1.33840E-03
  284.50      1.33460E-03
  285.50      1.32760E-03
  286.50      1.32070E-03
  287.50      1.31380E-03
  288.50      1.30690E-03
  289.50      1.30000E-03
  291.00      1.28990E-03
  293.00      1.27650E-03
  295.00      1.25830E-03
  297.00      1.25050E-03
  299.00      1.23780E-03
  301.00      1.22530E-03
  303.00      1.21290E-03
  305.00      1.20080E-03
  307.00      1.18890E-03
  309.00      1.17710E-03
  311.00      1.16560E-03
  313.00      1.15460E-03
  315.00      1.14330E-03
  317.00      1.13210E-03
  319.00      1.11470E-03
  321.00      1.09770E-03
  323.00      1.09930E-03
  325.00      1.08870E-03
  327.00      1.07880E-03
  329.00      1.06790E-03
  331.00      1.05850E-03
  333.00      1.04860E-03
  335.00      1.03800E-03
  337.00      1.02930E-03
  339.00      1.01970E-03
  341.00      1.01030E-03
  343.00      9.99370E-04
  345.00      9.88410E-04
  347.00      9.80910E-04
  349.00      9.72070E-04
  351.00      9.63650E-04
  353.00      9.55910E-04
  355.00      9.46740E-04
  357.00      9.41570E-04
  359.00      9.28840E-04
  361.00      9.23050E-04
  363.00      9.12380E-04
  364.00      9.05800E-04
  365.00      8.66820E-04
  367.00      8.61110E-04
  369.00      8.54760E-04
  371.00      8.44800E-04
  373.00      8.40320E-04
  375.00      8.39470E-04
  377.00      8.30950E-04
  379.00      8.45690E-04
  381.00      8.67740E-04
  383.00      8.04260E-04
  385.00      8.79220E-04
  387.00      8.91370E-04
  389.00      7.76030E-04
  391.00      8.83210E-04
  393.00      8.79690E-04
  395.00      8.71010E-04
  397.00      7.47630E-04
  399.00      8.52640E-04
  401.00      8.54280E-04
  403.00      8.22500E-04
  405.00      8.45620E-04
  407.00      8.36580E-04
  409.00      7.91700E-04
  411.00      7.29310E-04
  413.00      8.10350E-04
  415.00      8.07890E-04
  417.00      8.05580E-04
  419.00      7.96980E-04
  421.00      7.86710E-04
  423.00      7.86730E-04
  425.00      7.80380E-04
  427.00      7.74100E-04
  429.00      7.67600E-04
  431.00      7.58010E-04
  433.00      7.09870E-04
  435.00      6.72690E-04
  437.00      7.38850E-04
  439.00      7.25870E-04
  441.00      7.32320E-04
  443.00      7.25500E-04
  445.00      7.20970E-04
  447.00      6.95330E-04
  449.00      7.09710E-04
  451.00      7.04390E-04
  453.00      6.98220E-04
  455.00      6.85560E-04
  457.00      6.88370E-04
  459.00      6.83160E-04
  461.00      6.78010E-04
  463.00      6.72920E-04
  465.00      6.67880E-04
  467.00      6.62640E-04
  469.00      6.42290E-04
  471.00      6.48530E-04
  473.00      6.48330E-04
  475.00      6.43570E-04
  477.00      6.38850E-04
  479.00      6.34180E-04
  481.00      6.29170E-04
  483.00      6.21740E-04
  485.00      5.89370E-04
  487.00      5.50620E-04
  489.00      6.06670E-04
  491.00      6.05600E-04
  493.00      5.93200E-04
  495.00      5.98640E-04
  497.00      5.94410E-04
  499.00      5.90210E-04
  501.00      5.81800E-04
  503.00      5.81950E-04
  505.00      5.76300E-04
  507.00      5.73880E-04
  509.00      5.69910E-04
  511.00      5.65980E-04
  513.00      5.62090E-04
  515.00      5.58220E-04
  517.00      5.54400E-04
  519.00      5.50620E-04
  521.00      5.46880E-04
  523.00      5.43180E-04
  525.00      5.39520E-04
  527.00      5.35890E-04
  529.00      5.32300E-04
  531.00      5.28740E-04
  533.00      5.25230E-04
  535.00      5.21750E-04
  537.00      5.18300E-04
  539.00      5.14890E-04
  541.00      5.05310E-04
  543.00      5.08150E-04
  545.00      5.04850E-04
  547.00      5.01570E-04
  549.00      4.98310E-04
  551.00      4.95080E-04
  553.00      4.91890E-04
  555.00      4.88720E-04
  557.00      4.85590E-04
  559.00      4.82490E-04
  561.00      4.79420E-04
  563.00      4.76370E-04
  565.00      4.73360E-04
  567.00      4.70370E-04
  569.00      4.65450E-04
  571.00      4.53640E-04
  573.00      4.50940E-04
  575.00      4.48260E-04
  577.00      4.45600E-04
  579.00      4.42980E-04
  581.00      4.40410E-04
  583.00      4.37920E-04
  585.00      4.35580E-04
  587.00      4.25460E-04
  589.00      4.30900E-04
  591.00      4.29680E-04
  593.00      4.27970E-04
  595.00      4.26330E-04
  597.00      4.24760E-04
  599.00      4.23290E-04
  601.00      4.21710E-04
  603.00      4.19940E-04
  605.00      4.18680E-04
  607.00      4.16350E-04
  609.00      4.13890E-04
  611.00      4.11440E-04
  613.00      4.09020E-04
  615.00      4.06620E-04
  617.00      4.04240E-04
  619.00      4.01890E-04
  621.00      3.99550E-04
  623.00      3.97230E-04
  625.00      3.94930E-04
  627.00      3.92660E-04
  629.00      3.90400E-04
  631.00      3.88150E-04
  633.00      3.85940E-04
  635.00      3.83740E-04
  637.00      3.81560E-04
  639.00      3.79390E-04
  641.00      3.77010E-04
  643.00      3.75120E-04
  645.00      3.73010E-04
  647.00      3.70920E-04
  649.00      3.68840E-04
  651.00      3.66460E-04
  653.00      3.62490E-04
  655.00      3.52380E-04
  657.00      3.27540E-04
  659.00      3.56000E-04
  661.00      3.56340E-04
  663.00      3.54790E-04
  665.00      3.52940E-04
  667.00      3.48410E-04
  669.00      3.45700E-04
  671.00      3.47210E-04
  673.00      3.45330E-04
  675.00      3.43470E-04
  677.00      3.41620E-04
  679.00      3.39790E-04
  681.00      3.37970E-04
  683.00      3.36160E-04
  685.00      3.34370E-04
  687.00      3.32590E-04
  689.00      3.29900E-04
  691.00      3.29080E-04
  693.00      3.27350E-04
  695.00      3.25630E-04
  697.00      3.23920E-04
  699.00      3.22230E-04
  701.00      3.20550E-04
  703.00      3.18880E-04
  705.00      3.17220E-04
  707.00      3.12540E-04
  709.00      3.13950E-04
  711.00      3.12330E-04
  713.00      3.10730E-04
  715.00      3.09130E-04
  717.00      3.06810E-04
  719.00      3.05560E-04
  721.00      3.04430E-04
  723.00      3.02890E-04
  725.00      3.01350E-04
