 Castelli and Kurucz 2004-2012 Atmosphere
 T     34000.     G    4.50000 [0.5a] VTURB=2  L/H=1.25 NOVER NEW ODF          
 Wavelength  Eddington Hnu
   (nm)    (ergs/s/cm2/Hz/sr)
  9.0900      3.92920E-31
  9.3500      2.06510E-30
  9.6100      9.92530E-30
  9.7700      2.53320E-29
  9.9600      7.38660E-29
  10.200      2.70970E-28
  10.380      6.93830E-28
  10.560      1.72510E-27
  10.770      4.82170E-27
  11.040      1.71600E-26
  11.400      8.56860E-26
  11.780      4.25580E-25
  12.130      1.72010E-24
  12.480      6.47190E-24
  12.710      1.49180E-23
  12.840      2.36260E-23
  13.050      4.87350E-23
  13.240      9.23190E-23
  13.390      1.51060E-22
  13.660      3.57300E-22
  13.980      9.54880E-22
  14.330      2.66710E-21
  14.720      7.90800E-21
  15.100      2.18850E-20
  15.520      6.35280E-20
  15.880      1.51900E-19
  16.200      3.19150E-19
  16.600      7.80970E-19
  17.030      1.93380E-18
  17.340      3.66730E-18
  17.680      7.30570E-18
  18.020      1.39120E-17
  18.170      1.88580E-17
  18.610      4.14710E-17
  19.100      9.61310E-17
  19.390      1.54500E-16
  19.840      3.19550E-16
  20.180      5.34800E-16
  20.500      8.55520E-16
  21.050      1.86200E-15
  21.620      3.94530E-15
  21.980      6.35630E-15
  22.300      9.49040E-15
  22.680      1.71100E-14
  23.000      2.59360E-12
  23.400      5.47460E-12
  24.000      9.00150E-12
  24.650      1.55780E-11
  25.240      2.71140E-11
  25.680      3.98730E-11
  26.000      6.62160E-11
  26.400      1.07390E-10
  26.850      1.70540E-10
  27.350      2.40800E-10
  27.850      3.04590E-10
  28.400      7.15290E-10
  29.000      1.06710E-09
  29.600      1.44040E-09
  30.100      2.40660E-09
  30.800      6.75130E-09
  31.800      1.44820E-08
  32.800      2.17980E-08
  33.800      4.16190E-08
  34.800      6.70010E-08
  35.700      1.53460E-07
  36.600      3.72220E-07
  37.500      4.49250E-07
  38.500      7.12610E-07
  39.500      1.89570E-06
  40.500      2.52260E-06
  41.400      4.18140E-06
  42.200      4.98200E-06
  43.000      5.46710E-06
  44.100      6.84730E-06
  45.100      7.66260E-06
  46.000      7.38600E-06
  47.000      9.29360E-06
  48.000      1.13390E-05
  49.000      1.08070E-05
  50.000      1.47160E-05
  50.600      1.47040E-05
  51.200      1.10550E-04
  52.000      1.05290E-04
  53.000      1.01320E-04
  54.000      9.99730E-05
  55.000      1.07900E-04
  56.000      1.60720E-04
  57.000      1.96580E-04
  58.000      1.87940E-04
  59.000      2.01650E-04
  60.000      1.24300E-04
  61.000      1.82270E-04
  62.000      2.51120E-04
  63.000      2.47280E-04
  64.000      2.56730E-04
  65.000      2.40820E-04
  65.800      1.54390E-04
  66.500      2.37720E-04
  67.500      3.08630E-04
  68.500      2.18610E-04
  69.500      3.28300E-04
  70.500      2.12740E-04
  71.600      3.83100E-04
  72.600      3.81890E-04
  73.500      3.90180E-04
  74.500      3.37410E-04
  75.500      3.53710E-04
  76.500      3.80230E-04
  77.500      4.18360E-04
  78.500      4.14730E-04
  79.500      4.48590E-04
  80.500      4.16860E-04
  81.500      4.20520E-04
  82.500      4.77260E-04
  83.500      3.38410E-04
  84.500      4.65390E-04
  85.500      4.63070E-04
  86.500      4.96050E-04
  87.500      5.07350E-04
  88.500      5.26310E-04
  89.500      5.36400E-04
  90.500      5.23270E-04
  91.500      5.23120E-04
  92.500      1.24330E-03
  93.500      1.94070E-03
  94.500      2.45690E-03
  95.500      2.77810E-03
  96.500      3.16100E-03
  97.500      1.31580E-03
  98.500      2.53370E-03
  99.500      2.27490E-03
  100.50      2.38310E-03
  101.50      2.66330E-03
  102.50      2.24800E-03
  103.50      2.71330E-03
  104.50      3.23820E-03
  105.50      3.08730E-03
  106.50      2.57590E-03
  107.50      2.79280E-03
  108.50      2.60560E-03
  109.50      2.85620E-03
  110.50      2.75500E-03
  111.50      2.74710E-03
  112.50      2.02970E-03
  113.50      2.68300E-03
  114.50      2.66940E-03
  115.50      2.46710E-03
  116.50      2.48640E-03
  117.50      1.61870E-03
  118.50      2.34220E-03
  119.50      2.26540E-03
  120.50      2.19260E-03
  121.50      1.83590E-03
  122.50      2.23220E-03
  123.50      2.43320E-03
  124.50      2.36240E-03
  125.50      2.39800E-03
  126.50      2.50930E-03
  127.50      2.66920E-03
  128.50      2.71640E-03
  129.50      2.51870E-03
  130.50      2.56040E-03
  131.50      2.79410E-03
  132.50      2.73350E-03
  133.50      2.68340E-03
  134.50      2.67550E-03
  135.50      2.67710E-03
  136.50      2.58300E-03
  137.50      2.50800E-03
  138.50      2.42650E-03
  139.50      1.69530E-03
  140.50      1.84420E-03
  141.50      2.46670E-03
  142.50      2.22410E-03
  143.50      2.44500E-03
  144.20      2.41080E-03
  144.70      2.42210E-03
  145.50      2.30890E-03
  146.50      2.26420E-03
  147.50      2.34560E-03
  148.50      2.37060E-03
  149.50      2.31810E-03
  150.50      2.24330E-03
  151.20      2.23260E-03
  151.70      2.27190E-03
  152.50      2.19880E-03
  153.50      1.90660E-03
  154.50      1.55620E-03
  155.50      1.59970E-03
  156.50      1.88490E-03
  157.50      2.01720E-03
  158.50      2.03100E-03
  159.50      2.08310E-03
  160.50      2.00460E-03
  161.50      1.91940E-03
  162.50      1.99590E-03
  163.50      2.04580E-03
  164.50      2.08820E-03
  165.50      2.08450E-03
  166.50      2.05500E-03
  167.20      1.90140E-03
  167.70      2.31010E-03
  168.50      2.20520E-03
  169.50      2.14650E-03
  170.50      2.14490E-03
  171.50      2.04530E-03
  172.50      1.96770E-03
  173.50      2.07530E-03
  174.50      2.09190E-03
  175.50      2.08490E-03
  176.50      2.06820E-03
  177.50      1.99780E-03
  178.50      2.06660E-03
  179.50      2.03450E-03
  180.50      2.04570E-03
  181.50      2.00720E-03
  182.50      1.99110E-03
  183.50      2.00730E-03
  184.50      1.92550E-03
  185.50      1.99200E-03
  186.50      2.01760E-03
  187.50      1.97080E-03
  188.50      1.89220E-03
  189.50      1.87900E-03
  190.50      1.94970E-03
  191.50      1.90620E-03
  192.50      1.79430E-03
  193.50      1.94430E-03
  194.50      1.98460E-03
  195.50      1.79610E-03
  196.70      1.91720E-03
  197.60      1.98470E-03
  198.40      1.92840E-03
  199.50      1.90520E-03
  200.50      1.95990E-03
  201.50      1.96990E-03
  202.50      1.98320E-03
  203.50      1.91070E-03
