 Castelli and Kurucz 2004-2012 Atmosphere
 T     36000.     G    4.00000 [-0.5] N(He)/Ntot=0.0784 VTURB=2.0  L/H=1.25 NOV
 Wavelength  Eddington Hnu
   (nm)    (ergs/s/cm2/Hz/sr)
  9.0900      2.01680E-28
  9.3500      9.09430E-28
  9.6100      3.79610E-27
  9.7700      8.87420E-27
  9.9600      2.34760E-26
  10.200      7.65280E-26
  10.380      1.79880E-25
  10.560      4.11650E-25
  10.770      1.04780E-24
  11.040      3.32030E-24
  11.400      1.43060E-23
  11.780      6.13740E-23
  12.130      2.18330E-22
  12.480      7.28380E-22
  12.710      1.55690E-21
  12.840      2.36620E-21
  13.050      4.57980E-21
  13.240      8.19180E-21
  13.390      1.28360E-20
  13.660      2.82080E-20
  13.980      6.93840E-20
  14.330      1.77850E-19
  14.720      4.82580E-19
  15.100      1.23080E-18
  15.520      3.28740E-18
  15.880      7.35160E-18
  16.200      1.46230E-17
  16.600      3.34850E-17
  17.030      7.82220E-17
  17.340      1.40900E-16
  17.680      2.62990E-16
  18.020      4.79660E-16
  18.170      6.21060E-16
  18.610      1.29840E-15
  19.100      2.84050E-15
  19.390      4.43740E-15
  19.840      8.64920E-15
  20.180      1.40410E-14
  20.500      2.18650E-14
  21.050      4.54240E-14
  21.620      9.31720E-14
  21.980      1.44400E-13
  22.300      2.10320E-13
  22.680      3.23530E-13
  23.000      4.31030E-10
  23.400      1.58970E-09
  24.000      2.53260E-09
  24.650      4.15040E-09
  25.240      7.01410E-09
  25.680      8.17500E-09
  26.000      1.36140E-08
  26.400      5.28150E-08
  26.850      8.03990E-08
  27.350      1.01290E-07
  27.850      8.28700E-08
  28.400      2.00770E-07
  29.000      2.75210E-07
  29.600      2.25350E-07
  30.100      2.39670E-07
  30.800      1.18870E-06
  31.800      2.29760E-06
  32.800      3.82100E-06
  33.800      4.56830E-06
  34.800      5.91490E-06
  35.700      1.24330E-05
  36.600      2.22710E-05
  37.500      2.67880E-05
  38.500      2.75810E-05
  39.500      4.08920E-05
  40.500      5.33330E-05
  41.400      5.55520E-05
  42.200      5.74670E-05
  43.000      5.59390E-05
  44.100      6.72020E-05
  45.100      7.22490E-05
  46.000      6.89870E-05
  47.000      7.38600E-05
  48.000      8.50230E-05
  49.000      7.73570E-05
  50.000      9.70400E-05
  50.600      1.27390E-04
  51.200      3.34690E-04
  52.000      3.20370E-04
  53.000      3.00450E-04
  54.000      2.81340E-04
  55.000      2.87620E-04
  56.000      3.86390E-04
  57.000      4.26540E-04
  58.000      4.17300E-04
  59.000      4.41810E-04
  60.000      3.84640E-04
  61.000      4.21740E-04
  62.000      5.21590E-04
  63.000      5.16360E-04
  64.000      5.60100E-04
  65.000      5.53860E-04
  65.800      5.04810E-04
  66.500      5.76270E-04
  67.500      6.34590E-04
  68.500      5.58000E-04
  69.500      6.53080E-04
  70.500      5.74080E-04
  71.600      7.09570E-04
  72.600      7.23540E-04
  73.500      7.47240E-04
  74.500      7.23500E-04
  75.500      7.34160E-04
  76.500      7.20950E-04
  77.500      7.67040E-04
  78.500      7.59970E-04
  79.500      8.03940E-04
  80.500      8.07180E-04
  81.500      8.26250E-04
  82.500      8.53830E-04
  83.500      7.61130E-04
  84.500      8.64510E-04
  85.500      8.66470E-04
  86.500      9.01560E-04
  87.500      9.14770E-04
  88.500      9.24480E-04
  89.500      9.36890E-04
  90.500      9.31960E-04
  91.500      8.64990E-04
  92.500      1.72260E-03
  93.500      2.34960E-03
  94.500      2.71420E-03
  95.500      2.94880E-03
  96.500      3.20980E-03
  97.500      2.36290E-03
  98.500      2.98470E-03
  99.500      2.81360E-03
  100.50      2.87100E-03
  101.50      2.99490E-03
  102.50      2.68950E-03
  103.50      3.05930E-03
  104.50      3.20560E-03
  105.50      3.18140E-03
  106.50      3.06400E-03
  107.50      3.09530E-03
  108.50      2.98230E-03
  109.50      3.10660E-03
  110.50      3.05430E-03
  111.50      3.04010E-03
  112.50      2.89040E-03
  113.50      3.05250E-03
  114.50      3.04510E-03
  115.50      2.94730E-03
  116.50      2.91610E-03
  117.50      2.47110E-03
  118.50      2.79890E-03
  119.50      2.78310E-03
  120.50      2.76120E-03
  121.50      2.39720E-03
  122.50      2.71370E-03
  123.50      2.80160E-03
  124.50      2.77300E-03
  125.50      2.79540E-03
  126.50      2.84060E-03
  127.50      2.86810E-03
  128.50      2.87640E-03
  129.50      2.82980E-03
  130.50      2.80970E-03
  131.50      2.85710E-03
  132.50      2.82880E-03
  133.50      2.80760E-03
  134.50      2.83120E-03
  135.50      2.76810E-03
  136.50      2.73070E-03
  137.50      2.69780E-03
  138.50      2.69490E-03
  139.50      2.57250E-03
  140.50      2.52510E-03
  141.50      2.67920E-03
  142.50      2.52980E-03
  143.50      2.62450E-03
  144.20      2.59980E-03
  144.70      2.59930E-03
  145.50      2.54520E-03
  146.50      2.55880E-03
  147.50      2.55530E-03
  148.50      2.58110E-03
  149.50      2.53930E-03
  150.50      2.56130E-03
  151.20      2.55970E-03
  151.70      2.54060E-03
  152.50      2.51360E-03
  153.50      2.36580E-03
  154.50      2.10690E-03
  155.50      2.14770E-03
  156.50      2.29480E-03
  157.50      2.37170E-03
  158.50      2.37960E-03
  159.50      2.37610E-03
  160.50      2.27680E-03
  161.50      2.24030E-03
  162.50      2.26230E-03
  163.50      2.26920E-03
  164.50      2.21970E-03
  165.50      2.31320E-03
  166.50      2.29380E-03
  167.20      2.19510E-03
  167.70      2.37090E-03
  168.50      2.33050E-03
  169.50      2.31490E-03
  170.50      2.28970E-03
  171.50      2.23740E-03
  172.50      2.22200E-03
