 Castelli and Kurucz 2004-2012 Atmosphere
 T     34000.     G    5.00000 [-1.0] VTURB=2  L/H=1.25 NOVER NEW ODF          
 Wavelength  Eddington Hnu
   (nm)    (ergs/s/cm2/Hz/sr)
  9.0900      2.59520E-30
  9.3500      1.37040E-29
  9.6100      6.63350E-29
  9.7700      1.68190E-28
  9.9600      4.89040E-28
  10.200      1.78330E-27
  10.380      4.53700E-27
  10.560      1.11970E-26
  10.770      3.09790E-26
  11.040      1.08570E-25
  11.400      5.29580E-25
  11.780      2.56000E-24
  12.130      1.00660E-23
  12.480      3.68280E-23
  12.710      8.32860E-23
  12.840      1.30510E-22
  13.050      2.64900E-22
  13.240      4.93740E-22
  13.390      7.97850E-22
  13.660      1.84890E-21
  13.980      4.81660E-21
  14.330      1.31300E-20
  14.720      3.80910E-20
  15.100      1.02350E-19
  15.520      2.89620E-19
  15.880      6.78720E-19
  16.200      1.40630E-18
  16.600      3.37160E-18
  17.030      8.27120E-18
  17.340      1.54050E-17
  17.680      2.97750E-17
  18.020      5.62350E-17
  18.170      7.39450E-17
  18.610      1.61300E-16
  19.100      3.69850E-16
  19.390      5.93410E-16
  19.840      1.20510E-15
  20.180      2.01850E-15
  20.500      3.23280E-15
  21.050      7.04500E-15
  21.620      1.51850E-14
  21.980      2.42130E-14
  22.300      3.62190E-14
  22.680      5.75650E-14
  23.000      2.35030E-11
  23.400      1.13530E-10
  24.000      2.36480E-10
  24.650      4.34120E-10
  25.240      7.03610E-10
  25.680      7.56260E-10
  26.000      1.41040E-09
  26.400      2.12020E-09
  26.850      2.98440E-09
  27.350      3.89400E-09
  27.850      4.72880E-09
  28.400      8.32500E-09
  29.000      1.12270E-08
  29.600      1.39540E-08
  30.100      1.55080E-08
  30.800      2.56670E-08
  31.800      5.64110E-08
  32.800      7.87130E-08
  33.800      1.21710E-07
  34.800      1.75750E-07
  35.700      2.43040E-07
  36.600      3.46660E-07
  37.500      4.34860E-07
  38.500      5.90960E-07
  39.500      7.82830E-07
  40.500      9.93870E-07
  41.400      1.24840E-06
  42.200      1.45960E-06
  43.000      1.72750E-06
  44.100      2.19680E-06
  45.100      2.68100E-06
  46.000      3.11820E-06
  47.000      3.79070E-06
  48.000      4.52590E-06
  49.000      5.26920E-06
  50.000      6.33570E-06
  50.600      1.93270E-05
  51.200      8.06520E-05
  52.000      7.94350E-05
  53.000      8.09990E-05
  54.000      7.54070E-05
  55.000      8.74260E-05
  56.000      9.97970E-05
  57.000      1.05680E-04
  58.000      1.01750E-04
  59.000      1.11030E-04
  60.000      1.09730E-04
  61.000      1.17910E-04
  62.000      1.30760E-04
  63.000      1.34250E-04
  64.000      1.36320E-04
  65.000      1.43410E-04
  65.800      1.42760E-04
  66.500      1.49700E-04
  67.500      1.56560E-04
  68.500      1.51210E-04
  69.500      1.69500E-04
  70.500      1.67020E-04
  71.600      1.84180E-04
  72.600      1.87730E-04
  73.500      1.95170E-04
  74.500      1.99720E-04
  75.500      2.04770E-04
  76.500      2.10300E-04
  77.500      2.17420E-04
  78.500      2.27900E-04
  79.500      2.32890E-04
  80.500      2.37130E-04
  81.500      2.44010E-04
  82.500      2.53850E-04
  83.500      2.43730E-04
  84.500      2.64470E-04
  85.500      2.70580E-04
  86.500      2.80240E-04
  87.500      2.87460E-04
  88.500      2.95100E-04
  89.500      3.02820E-04
  90.500      3.05810E-04
  91.500      3.11180E-04
  92.500      7.90130E-04
  93.500      1.31590E-03
  94.500      2.20720E-03
  95.500      2.58090E-03
  96.500      3.30380E-03
  97.500      1.78130E-03
  98.500      3.32460E-03
  99.500      3.07270E-03
  100.50      3.29010E-03
  101.50      3.25690E-03
  102.50      1.98230E-03
  103.50      3.18190E-03
  104.50      3.51190E-03
  105.50      3.48530E-03
  106.50      3.25880E-03
  107.50      3.33820E-03
  108.50      3.07850E-03
  109.50      3.35980E-03
  110.50      3.27430E-03
  111.50      3.26110E-03
  112.50      3.03410E-03
  113.50      3.23580E-03
  114.50      3.14180E-03
  115.50      3.12790E-03
  116.50      3.09800E-03
  117.50      2.57940E-03
  118.50      2.96680E-03
  119.50      2.94450E-03
  120.50      2.80280E-03
  121.50      1.78580E-03
  122.50      2.77650E-03
  123.50      2.94050E-03
  124.50      2.89630E-03
  125.50      2.91930E-03
  126.50      2.94010E-03
  127.50      2.93660E-03
  128.50      2.92970E-03
  129.50      2.79750E-03
  130.50      2.82640E-03
  131.50      2.87440E-03
  132.50      2.81450E-03
  133.50      2.77400E-03
  134.50      2.79360E-03
  135.50      2.77450E-03
  136.50      2.73110E-03
  137.50      2.71520E-03
  138.50      2.68610E-03
  139.50      2.50080E-03
  140.50      2.51110E-03
  141.50      2.61530E-03
  142.50      2.51260E-03
  143.50      2.56980E-03
  144.20      2.57630E-03
  144.70      2.55930E-03
  145.50      2.52230E-03
  146.50      2.50960E-03
  147.50      2.48500E-03
  148.50      2.49180E-03
  149.50      2.45470E-03
  150.50      2.43020E-03
  151.20      2.42210E-03
  151.70      2.41000E-03
  152.50      2.38020E-03
  153.50      2.25150E-03
  154.50      2.15530E-03
  155.50      2.14570E-03
  156.50      2.20370E-03
  157.50      2.23970E-03
  158.50      2.25620E-03
  159.50      2.24380E-03
  160.50      2.15960E-03
  161.50      2.11800E-03
  162.50      2.13750E-03
  163.50      2.12910E-03
  164.50      2.06370E-03
  165.50      2.15740E-03
  166.50      2.14200E-03
  167.20      2.08400E-03
  167.70      2.18220E-03
  168.50      2.14910E-03
  169.50      2.12790E-03
  170.50      2.10060E-03
  171.50      2.06390E-03
  172.50      2.03820E-03
  173.50      2.08200E-03
  174.50      2.06460E-03
  175.50      2.04120E-03
  176.50      2.03020E-03
  177.50      2.02050E-03
  178.50      2.01900E-03
  179.50      2.00010E-03
  180.50      1.99770E-03
  181.50      1.97560E-03
  182.50      1.96100E-03
  183.50      1.96070E-03
  184.50      1.91610E-03
  185.50      1.89920E-03
  186.50      1.89770E-03
  187.50      1.89190E-03
  188.50      1.85450E-03
  189.50      1.83450E-03
  190.50      1.85590E-03
  191.50      1.82360E-03
  192.50      1.78100E-03
  193.50      1.81210E-03
  194.50      1.81950E-03
  195.50      1.76270E-03
  196.70      1.78660E-03
  197.60      1.79470E-03
  198.40      1.76620E-03
  199.50      1.73580E-03
  200.50      1.75510E-03
  201.50      1.75100E-03
  202.50      1.74380E-03
  203.50      1.72250E-03
  204.50      1.71100E-03
  205.50      1.47960E-03
