 Castelli and Kurucz 2004-2012 Atmosphere
 T     34000.     G    4.00000 [-1.5] N(He)/Ntot=0.0784 VTURB=2  L/H=1.25 NOVER
 Wavelength  Eddington Hnu
   (nm)    (ergs/s/cm2/Hz/sr)
  9.0900      5.07350E-30
  9.3500      2.60050E-29
  9.6100      1.23130E-28
  9.7700      3.09230E-28
  9.9600      8.91500E-28
  10.200      3.23360E-27
  10.380      8.21890E-27
  10.560      2.03170E-26
  10.770      5.64960E-26
  11.040      2.00090E-25
  11.400      9.95650E-25
  11.780      4.94830E-24
  12.130      2.00300E-23
  12.480      7.55840E-23
  12.710      1.74620E-22
  12.840      2.77050E-22
  13.050      5.73880E-22
  13.240      1.08980E-21
  13.390      1.78760E-21
  13.660      4.25380E-21
  13.980      1.14370E-20
  14.330      3.22340E-20
  14.720      9.70240E-20
  15.100      2.70240E-19
  15.520      7.94870E-19
  15.880      1.92270E-18
  16.200      4.09230E-18
  16.600      1.01300E-17
  17.030      2.56670E-17
  17.340      4.88550E-17
  17.680      9.65790E-17
  18.020      1.86340E-16
  18.170      2.47170E-16
  18.610      5.52310E-16
  19.100      1.29690E-15
  19.390      2.10730E-15
  19.840      4.35650E-15
  20.180      7.38510E-15
  20.500      1.19480E-14
  21.050      2.64190E-14
  21.620      5.76480E-14
  21.980      9.24460E-14
  22.300      1.38890E-13
  22.680      2.21800E-13
  23.000      1.00050E-10
  23.400      5.09430E-10
  24.000      1.26650E-09
  24.650      3.09740E-09
  25.240      5.56340E-09
  25.680      4.28170E-09
  26.000      1.33620E-08
  26.400      4.07460E-08
  26.850      7.44790E-08
  27.350      1.01910E-07
  27.850      9.86460E-08
  28.400      1.97580E-07
  29.000      2.23710E-07
  29.600      1.44670E-07
  30.100      6.13810E-08
  30.800      1.74850E-07
  31.800      6.84610E-07
  32.800      9.21720E-07
  33.800      1.21690E-06
  34.800      1.56420E-06
  35.700      1.91920E-06
  36.600      2.48710E-06
  37.500      2.80350E-06
  38.500      3.26370E-06
  39.500      4.01130E-06
  40.500      4.75880E-06
  41.400      5.54140E-06
  42.200      6.13270E-06
  43.000      6.82630E-06
  44.100      8.31850E-06
  45.100      9.63180E-06
  46.000      1.07420E-05
  47.000      1.25150E-05
  48.000      1.44830E-05
  49.000      1.60960E-05
  50.000      1.89160E-05
  50.600      6.27300E-05
  51.200      1.66220E-04
  52.000      1.62560E-04
  53.000      1.60970E-04
  54.000      1.52420E-04
  55.000      1.67200E-04
  56.000      1.97740E-04
  57.000      2.07200E-04
  58.000      2.02010E-04
  59.000      2.16950E-04
  60.000      2.11440E-04
  61.000      2.24870E-04
  62.000      2.52100E-04
  63.000      2.56820E-04
  64.000      2.66570E-04
  65.000      2.72690E-04
  65.800      2.68360E-04
  66.500      2.82990E-04
  67.500      3.00310E-04
  68.500      2.88890E-04
  69.500      3.14850E-04
  70.500      3.07700E-04
  71.600      3.39020E-04
  72.600      3.46510E-04
  73.500      3.58440E-04
  74.500      3.59450E-04
  75.500      3.66830E-04
  76.500      3.71990E-04
  77.500      3.83730E-04
  78.500      3.97020E-04
  79.500      4.06080E-04
  80.500      4.11800E-04
  81.500      4.22890E-04
  82.500      4.35970E-04
  83.500      4.16790E-04
  84.500      4.50600E-04
  85.500      4.58490E-04
  86.500      4.72230E-04
  87.500      4.80980E-04
  88.500      4.89780E-04
  89.500      4.98900E-04
  90.500      5.02700E-04
  91.500      5.30350E-04
  92.500      1.30890E-03
