 Castelli and Kurucz 2004-2012 Atmosphere
 T     36000.     G    4.00000 [-2.0] N(He)/Ntot=0.0784 VTURB=2.0  L/H=1.25 ODF
 Wavelength  Eddington Hnu
   (nm)    (ergs/s/cm2/Hz/sr)
  9.0900      4.90780E-27
  9.3500      2.29460E-26
  9.6100      9.95870E-26
  9.7700      2.37510E-25
  9.9600      6.45560E-25
  10.200      2.17780E-24
  10.380      5.25240E-24
  10.560      1.23350E-23
  10.770      3.23420E-23
  11.040      1.06480E-22
  11.400      4.82550E-22
  11.780      2.17580E-21
  12.130      8.07900E-21
  12.480      2.80430E-20
  12.710      6.14140E-20
  12.840      9.45330E-20
  13.050      1.86620E-19
  13.240      3.39460E-19
  13.390      5.38280E-19
  13.660      1.20530E-18
  13.980      3.01650E-18
  14.330      7.87320E-18
  14.720      2.17550E-17
  15.100      5.58060E-17
  15.520      1.50060E-16
  15.880      3.36620E-16
  16.200      6.69490E-16
  16.600      1.52380E-15
  17.030      3.53890E-15
  17.340      6.33090E-15
  17.680      1.17030E-14
  18.020      2.11140E-14
  18.170      2.71980E-14
  18.610      5.58810E-14
  19.100      1.19850E-13
  19.390      1.84770E-13
  19.840      3.52400E-13
  20.180      5.62910E-13
  20.500      8.62100E-13
  21.050      1.73970E-12
  21.620      3.46330E-12
  21.980      5.24860E-12
  22.300      7.50670E-12
  22.680      1.13290E-11
  23.000      9.63120E-10
  23.400      4.53580E-09
  24.000      1.22260E-08
  24.650      5.16740E-08
  25.240      1.50870E-07
  25.680      9.61550E-08
  26.000      6.52530E-07
  26.400      1.84310E-06
  26.850      3.31620E-06
  27.350      4.79990E-06
  27.850      5.25280E-06
  28.400      8.30300E-06
  29.000      9.28560E-06
  29.600      5.14310E-06
  30.100      5.11140E-07
  30.800      2.87620E-06
  31.800      1.28480E-05
  32.800      1.74410E-05
  33.800      1.98530E-05
  34.800      2.30500E-05
  35.700      2.77120E-05
  36.600      3.27390E-05
  37.500      3.49640E-05
  38.500      3.48660E-05
  39.500      4.07780E-05
  40.500      4.51370E-05
  41.400      4.82470E-05
  42.200      4.94380E-05
  43.000      5.09050E-05
  44.100      5.73750E-05
  45.100      6.14990E-05
  46.000      6.38150E-05
  47.000      6.88640E-05
  48.000      7.50500E-05
  49.000      7.80330E-05
  50.000      8.70400E-05
  50.600      1.88990E-04
  51.200      3.55630E-04
  52.000      3.56720E-04
  53.000      3.60630E-04
  54.000      3.45520E-04
  55.000      3.63990E-04
  56.000      4.17930E-04
  57.000      4.34910E-04
  58.000      4.32180E-04
  59.000      4.57840E-04
  60.000      4.55370E-04
  61.000      4.65850E-04
  62.000      5.11110E-04
  63.000      5.19770E-04
  64.000      5.40130E-04
  65.000      5.46770E-04
  65.800      5.43060E-04
  66.500      5.66400E-04
  67.500      5.93810E-04
  68.500      5.83120E-04
  69.500      6.16980E-04
  70.500      6.07790E-04
  71.600      6.51880E-04
  72.600      6.67050E-04
  73.500      6.82050E-04
  74.500      6.85700E-04
  75.500      6.97270E-04
  76.500      7.01920E-04
  77.500      7.22160E-04
  78.500      7.35900E-04
  79.500      7.51170E-04
  80.500      7.62810E-04
  81.500      7.78560E-04
  82.500      7.96460E-04
  83.500      7.71430E-04
  84.500      8.16760E-04
  85.500      8.26270E-04
  86.500      8.46120E-04
  87.500      8.58620E-04
  88.500      8.69470E-04
  89.500      8.80060E-04
  90.500      8.84130E-04
  91.500      8.31530E-04
  92.500      1.70990E-03
  93.500      2.24810E-03
  94.500      2.70490E-03
  95.500      2.88960E-03
  96.500      3.16850E-03
  97.500      2.59780E-03
  98.500      3.11540E-03
  99.500      2.99400E-03
  100.50      3.11680E-03
  101.50      3.14170E-03
  102.50      2.69450E-03
  103.50      3.12220E-03
  104.50      3.15310E-03
  105.50      3.14550E-03
  106.50      3.09330E-03
  107.50      3.08910E-03
  108.50      3.00430E-03
  109.50      3.10720E-03
  110.50      3.08290E-03
  111.50      3.05620E-03
  112.50      3.00160E-03
  113.50      3.06080E-03
  114.50      3.04890E-03
  115.50      3.01470E-03
  116.50      3.00880E-03
  117.50      2.78980E-03
  118.50      2.96430E-03
  119.50      2.96230E-03
  120.50      2.94240E-03
  121.50      2.51650E-03
  122.50      2.92550E-03
  123.50      2.91600E-03
  124.50      2.88810E-03
  125.50      2.90930E-03
  126.50      2.90080E-03
  127.50      2.88910E-03
  128.50      2.87760E-03
  129.50      2.85570E-03
  130.50      2.84380E-03
  131.50      2.83640E-03
  132.50      2.81800E-03
  133.50      2.80610E-03
  134.50      2.79820E-03
  135.50      2.77710E-03
  136.50      2.75710E-03
  137.50      2.73530E-03
  138.50      2.73100E-03
  139.50      2.68420E-03
  140.50      2.65920E-03
  141.50      2.69130E-03
  142.50      2.66130E-03
  143.50      2.66230E-03
  144.20      2.64730E-03
  144.70      2.64150E-03
  145.50      2.62580E-03
  146.50      2.61630E-03
  147.50      2.60470E-03
  148.50      2.59930E-03
  149.50      2.57920E-03
  150.50      2.57150E-03
  151.20      2.56570E-03
  151.70      2.55260E-03
  152.50      2.53850E-03
  153.50      2.49910E-03
  154.50      2.41950E-03
  155.50      2.42130E-03
  156.50      2.45170E-03
