 Castelli and Kurucz 2004-2012 Atmosphere
 T     34000.     G    4.50000 [0.0] VTURB=2  L/H=1.25 NOVER NEW ODF           
 Wavelength  Eddington Hnu
   (nm)    (ergs/s/cm2/Hz/sr)
  9.0900      1.05310E-30
  9.3500      5.53100E-30
  9.6100      2.67820E-29
  9.7700      6.82220E-29
  9.9600      1.99710E-28
  10.200      7.36460E-28
  10.380      1.89290E-27
  10.560      4.72460E-27
  10.770      1.32550E-26
  11.040      4.73580E-26
  11.400      2.37040E-25
  11.780      1.17660E-24
  12.130      4.73290E-24
  12.480      1.76700E-23
  12.710      4.04390E-23
  12.840      6.37550E-23
  13.050      1.30530E-22
  13.240      2.45130E-22
  13.390      3.98150E-22
  13.660      9.29460E-22
  13.980      2.43800E-21
  14.330      6.66950E-21
  14.720      1.93490E-20
  15.100      5.19780E-20
  15.520      1.46470E-19
  15.880      3.41110E-19
  16.200      7.02090E-19
  16.600      1.66730E-18
  17.030      4.03410E-18
  17.340      7.45340E-18
  17.680      1.42770E-17
  18.020      2.66360E-17
  18.170      3.49670E-17
  18.610      7.49900E-17
  19.100      1.68790E-16
  19.390      2.67680E-16
  19.840      5.35220E-16
  20.180      8.84040E-16
  20.500      1.39810E-15
  21.050      2.98520E-15
  21.620      6.27430E-15
  21.980      9.92350E-15
  22.300      1.46860E-14
  22.680      2.31600E-14
  23.000      1.39540E-11
  23.400      3.33250E-11
  24.000      5.27270E-11
  24.650      8.85770E-11
  25.240      1.45940E-10
  25.680      1.99510E-10
  26.000      3.49040E-10
  26.400      6.21880E-10
  26.850      9.40530E-10
  27.350      1.27680E-09
  27.850      1.56090E-09
  28.400      3.12310E-09
  29.000      4.49260E-09
  29.600      5.85590E-09
  30.100      1.05550E-08
  30.800      2.23500E-08
  31.800      5.17270E-08
  32.800      7.46440E-08
  33.800      1.37570E-07
  34.800      2.14840E-07
  35.700      4.09200E-07
  36.600      7.97120E-07
  37.500      9.42380E-07
  38.500      1.30090E-06
  39.500      2.09720E-06
  40.500      2.62490E-06
  41.400      3.23890E-06
  42.200      3.68890E-06
  43.000      4.18080E-06
  44.100      5.28350E-06
  45.100      6.04260E-06
  46.000      6.46370E-06
  47.000      7.73380E-06
  48.000      9.26670E-06
  49.000      1.00750E-05
  50.000      1.24210E-05
  50.600      2.11840E-05
  51.200      1.18040E-04
  52.000      1.13920E-04
  53.000      1.05950E-04
  54.000      9.98790E-05
  55.000      1.17460E-04
  56.000      1.53050E-04
  57.000      1.66990E-04
  58.000      1.59430E-04
  59.000      1.72270E-04
  60.000      1.44910E-04
  61.000      1.76220E-04
  62.000      2.13930E-04
  63.000      2.12720E-04
  64.000      2.20670E-04
  65.000      2.23870E-04
  65.800      1.95550E-04
  66.500      2.30080E-04
  67.500      2.59260E-04
  68.500      2.14680E-04
  69.500      2.79330E-04
  70.500      2.36160E-04
