 Castelli and Kurucz 2004-2012 Atmosphere
 T     36000.     G    5.00000 [+0.2] N(He)/Ntot=0.07828 VTURB=2.0  L/H=1.25 NO
 Wavelength  Eddington Hnu
   (nm)    (ergs/s/cm2/Hz/sr)
  9.0900      3.19000E-28
  9.3500      1.42960E-27
  9.6100      5.93520E-27
  9.7700      1.38560E-26
  9.9600      3.65920E-26
  10.200      1.19130E-25
  10.380      2.80000E-25
  10.560      6.41030E-25
  10.770      1.63270E-24
  11.040      5.18170E-24
  11.400      2.23720E-23
  11.780      9.60900E-23
  12.130      3.41590E-22
  12.480      1.13660E-21
  12.710      2.42150E-21
  12.840      3.67150E-21
  13.050      7.06970E-21
  13.240      1.25880E-20
  13.390      1.96330E-20
  13.660      4.26880E-20
  13.980      1.03470E-19
  14.330      2.60780E-19
  14.720      6.92090E-19
  15.100      1.72400E-18
  15.520      4.47310E-18
  15.880      9.74310E-18
  16.200      1.88930E-17
  16.600      4.19470E-17
  17.030      9.44400E-17
  17.340      1.66180E-16
  17.680      3.02890E-16
  18.020      5.37070E-16
  18.170      6.91260E-16
  18.610      1.39320E-15
  19.100      2.93400E-15
  19.390      4.47920E-15
  19.840      8.45760E-15
  20.180      1.33690E-14
  20.500      2.03130E-14
  21.050      4.05690E-14
  21.620      7.94620E-14
  21.980      1.20900E-13
  22.300      1.72500E-13
  22.680      2.62380E-13
  23.000      8.72100E-11
  23.400      2.09830E-10
  24.000      3.16960E-10
  24.650      5.00410E-10
  25.240      7.98990E-10
  25.680      1.10480E-09
  26.000      1.78220E-09
  26.400      3.25390E-09
  26.850      4.86810E-09
  27.350      6.38690E-09
  27.850      7.43320E-09
  28.400      1.41260E-08
  29.000      1.97520E-08
  29.600      2.47970E-08
  30.100      5.10270E-08
  30.800      1.11400E-07
  31.800      2.30490E-07
  32.800      3.22860E-07
  33.800      5.81140E-07
  34.800      8.77490E-07
  35.700      1.80220E-06
  36.600      3.84480E-06
  37.500      4.45700E-06
  38.500      5.70110E-06
  39.500      1.01140E-05
  40.500      1.27710E-05
  41.400      1.42360E-05
  42.200      1.58850E-05
  43.000      1.67540E-05
  44.100      2.03150E-05
  45.100      2.22050E-05
  46.000      2.18940E-05
  47.000      2.52520E-05
  48.000      2.98710E-05
  49.000      3.00390E-05
  50.000      3.66130E-05
  50.600      4.68280E-05
  51.200      2.42900E-04
  52.000      2.32620E-04
  53.000      2.16050E-04
  54.000      1.99330E-04
  55.000      2.27510E-04
  56.000      3.01470E-04
  57.000      3.29420E-04
  58.000      3.16660E-04
  59.000      3.37380E-04
  60.000      2.76540E-04
  61.000      3.31150E-04
  62.000      4.07190E-04
  63.000      4.01050E-04
  64.000      4.19570E-04
  65.000      4.19940E-04
  65.800      3.58170E-04
  66.500      4.26890E-04
  67.500      4.81900E-04
  68.500      3.89750E-04
  69.500      5.08120E-04
  70.500      4.22180E-04
  71.600      5.58850E-04
  72.600      5.59260E-04
  73.500      5.72840E-04
  74.500      5.50050E-04
  75.500      5.59740E-04
  76.500      5.66420E-04
  77.500      5.95270E-04
  78.500      6.11440E-04
  79.500      6.32710E-04
  80.500      6.19310E-04
  81.500      6.29200E-04
  82.500      6.66860E-04
  83.500      5.66210E-04
  84.500      6.60660E-04
  85.500      6.61900E-04
  86.500      6.93340E-04
  87.500      7.05210E-04
  88.500      7.20770E-04
  89.500      7.33560E-04
  90.500      7.22770E-04
  91.500      6.66590E-04
  92.500      1.36950E-03
  93.500      2.11510E-03
  94.500      2.93560E-03
  95.500      3.34550E-03
  96.500      4.03630E-03
  97.500      1.98200E-03
  98.500      3.55300E-03
  99.500      3.16610E-03
  100.50      3.34180E-03
  101.50      3.54560E-03
  102.50      2.68630E-03
  103.50      3.59820E-03
  104.50      4.11750E-03
  105.50      3.99200E-03
  106.50      3.54820E-03
  107.50      3.71790E-03
  108.50      3.40870E-03
  109.50      3.72280E-03
  110.50      3.59980E-03
  111.50      3.61850E-03
  112.50      3.12380E-03
  113.50      3.56330E-03
  114.50      3.49890E-03
  115.50      3.34250E-03
  116.50      3.24480E-03
  117.50      2.36260E-03
  118.50      3.07590E-03
  119.50      3.01510E-03
  120.50      2.93840E-03
  121.50      2.22630E-03
  122.50      2.87600E-03
  123.50      3.10850E-03
  124.50      3.06110E-03
  125.50      3.08310E-03
  126.50      3.19510E-03
  127.50      3.31390E-03
  128.50      3.34950E-03
  129.50      3.19650E-03
  130.50      3.20940E-03
  131.50      3.38610E-03
  132.50      3.31090E-03
  133.50      3.26440E-03
  134.50      3.27990E-03
  135.50      3.23340E-03
  136.50      3.16080E-03
  137.50      3.10650E-03
