 CMFGEN: observer frame O-star fluxes
 OStar Grid 2009, 15km/s vturb
 T    :    30.000  kK,    Logg :    4.250 cm/s^2
 Reff :     4.933  R0,    L    :  1.779E+04 L0 
 Mdot :  4.518E-09 M0/yr,  Vinf :  2720.000 km/s
 Frequency         Hnu
 (Hz)              (ergs/s/cm2/Hz/sr)
 8.32308E+16  1.00708E-60
 8.32169E+16  1.03402E-60
 8.32030E+16  1.06165E-60
 8.31892E+16  1.08990E-60
 8.31753E+16  1.11872E-60
 8.31614E+16  1.14822E-60
 8.31475E+16  1.17873E-60
 8.31337E+16  1.21017E-60
 8.31198E+16  1.24249E-60
 8.31059E+16  1.27549E-60
 8.30921E+16  1.30912E-60
 8.30782E+16  1.34362E-60
 8.30644E+16  1.37932E-60
 8.30505E+16  1.41613E-60
 8.30367E+16  1.45389E-60
 8.30228E+16  1.49239E-60
 8.30090E+16  1.53171E-60
 8.29951E+16  1.57209E-60
 8.29813E+16  1.61385E-60
 8.29674E+16  1.65686E-60
 8.29536E+16  1.70099E-60
 8.29398E+16  1.74593E-60
 8.29259E+16  1.79187E-60
 8.29121E+16  1.83907E-60
 8.28983E+16  1.88789E-60
 8.28844E+16  1.93821E-60
 8.28706E+16  1.98971E-60
 8.28568E+16  2.04222E-60
 8.28430E+16  2.09585E-60
 8.28292E+16  2.15111E-60
 8.28154E+16  2.20818E-60
 8.28015E+16  2.26694E-60
 8.27877E+16  2.32714E-60
 8.27739E+16  2.38839E-60
 8.27601E+16  2.45109E-60
 8.27463E+16  2.51566E-60
 8.27325E+16  2.58236E-60
 8.27187E+16  2.65099E-60
 8.27049E+16  2.72132E-60
 8.26911E+16  2.79283E-60
 8.26773E+16  2.86602E-60
 8.26636E+16  2.94153E-60
 8.26498E+16  3.01948E-60
 8.26360E+16  3.09968E-60
 8.26222E+16  3.18169E-60
 8.26084E+16  3.26520E-60
 8.25946E+16  3.35072E-60
 8.25809E+16  3.43898E-60
 8.25671E+16  3.53005E-60
 8.25533E+16  3.62369E-60
 8.25396E+16  3.71939E-60
 8.25258E+16  3.81684E-60
 8.25120E+16  3.91673E-60
