 CMFGEN: observer frame O-star fluxes
 OStar Grid 2009, 15km/s vturb
 T    :    32.000  kK,    Logg :    3.250 cm/s^2
 Reff :    28.979  R0,    L    :  7.944E+05 L0 
 Mdot :  4.493E-06 M0/yr,  Vinf :  2156.400 km/s
 Frequency         Hnu
 (Hz)              (ergs/s/cm2/Hz/sr)
 5.88713E+16  1.01692E-60
 5.88615E+16  1.04967E-60
 5.88517E+16  1.08347E-60
 5.88419E+16  1.11785E-60
 5.88320E+16  1.15369E-60
 5.88222E+16  1.19076E-60
 5.88124E+16  1.22907E-60
 5.88026E+16  1.26839E-60
 5.87928E+16  1.30922E-60
 5.87830E+16  1.35131E-60
 5.87732E+16  1.39470E-60
 5.87634E+16  1.43948E-60
 5.87536E+16  1.48585E-60
 5.87438E+16  1.53321E-60
 5.87340E+16  1.58260E-60
 5.87242E+16  1.63347E-60
 5.87144E+16  1.68594E-60
 5.87046E+16  1.74017E-60
 5.86948E+16  1.79623E-60
 5.86850E+16  1.85410E-60
 5.86752E+16  1.91368E-60
 5.86655E+16  1.97532E-60
 5.86557E+16  2.03864E-60
 5.86459E+16  2.10399E-60
 5.86361E+16  2.17176E-60
 5.86263E+16  2.24157E-60
 5.86166E+16  2.31380E-60
 5.86068E+16  2.38806E-60
 5.85970E+16  2.46474E-60
 5.85872E+16  2.54402E-60
 5.85775E+16  2.62516E-60
 5.85677E+16  2.70964E-60
 5.85579E+16  2.79672E-60
 5.85482E+16  2.88658E-60
 5.85384E+16  2.97923E-60
 5.85286E+16  3.07485E-60
 5.85189E+16  3.17400E-60
 5.85091E+16  3.27611E-60
 5.84994E+16  3.38120E-60
 5.84896E+16  3.48982E-60
 5.84798E+16  3.60177E-60
 5.84701E+16  3.71763E-60
 5.84603E+16  3.83739E-60
 5.84506E+16  3.96067E-60
 5.84408E+16  4.08785E-60
 5.84311E+16  4.21893E-60
 5.84214E+16  4.35447E-60
 5.84116E+16  4.49447E-60
 5.84019E+16  4.63910E-60
 5.83921E+16  4.78801E-60
 5.83824E+16  4.94155E-60
 5.83726E+16  5.09993E-60
 5.83629E+16  5.26369E-60
 5.83532E+16  5.43302E-60
 5.83434E+16  5.60773E-60
 5.83337E+16  5.78616E-60
 5.83240E+16  5.97090E-60
 5.83142E+16  6.16195E-60
 5.83045E+16  6.35987E-60
 5.82948E+16  6.56411E-60
 5.82851E+16  6.77503E-60
 5.82754E+16  6.99096E-60
 5.82656E+16  7.21506E-60
 5.82559E+16  7.44640E-60
 5.82462E+16  7.68480E-60
 5.82365E+16  7.93174E-60
 5.82268E+16  8.18629E-60
 5.82171E+16  8.44697E-60
 5.82074E+16  8.71563E-60
 5.81976E+16  8.99487E-60
 5.81880E+16  9.28303E-60
 5.81782E+16  9.58121E-60
 5.81685E+16  9.88868E-60
 5.81588E+16  1.02052E-59
 5.81491E+16  1.05309E-59
 5.81394E+16  1.08685E-59
 5.81297E+16  1.12171E-59
