UniqueID      Time          Wavelength    L_lambda      L_l_neb       
              (yr)          (Angstrom)    (erg/s/A)     (erg/s/A)     
-----------   -----------   -----------   -----------   -----------   
          1   5.00000e+05   9.10000e+01   5.46801e+25   0.00000e+00
          1   5.00000e+05   9.40000e+01   2.99331e+26   0.00000e+00
          1   5.00000e+05   9.60000e+01   9.51115e+26   0.00000e+00
          1   5.00000e+05   9.80000e+01   3.11737e+27   0.00000e+00
          1   5.00000e+05   1.00000e+02   4.11330e+27   0.00000e+00
          1   5.00000e+05   1.02000e+02   7.69492e+27   0.00000e+00
          1   5.00000e+05   1.04000e+02   1.88290e+28   0.00000e+00
          1   5.00000e+05   1.06000e+02   5.50278e+28   0.00000e+00
          1   5.00000e+05   1.08000e+02   1.63638e+29   0.00000e+00
          1   5.00000e+05   1.10000e+02   5.07429e+30   0.00000e+00
          1   5.00000e+05   1.14000e+02   4.69952e+31   0.00000e+00
          1   5.00000e+05   1.18000e+02   1.83917e+32   0.00000e+00
          1   5.00000e+05   1.21000e+02   7.18334e+32   0.00000e+00
          1   5.00000e+05   1.25000e+02   1.76112e+33   0.00000e+00
          1   5.00000e+05   1.27000e+02   4.27524e+33   0.00000e+00
          1   5.00000e+05   1.28000e+02   6.73866e+33   0.00000e+00
          1   5.00000e+05   1.31000e+02   9.67806e+33   0.00000e+00
          1   5.00000e+05   1.32000e+02   1.39498e+34   0.00000e+00
          1   5.00000e+05   1.34000e+02   1.93798e+34   0.00000e+00
          1   5.00000e+05   1.37000e+02   2.97656e+34   0.00000e+00
          1   5.00000e+05   1.40000e+02   4.47698e+34   0.00000e+00
          1   5.00000e+05   1.43000e+02   4.40218e+34   0.00000e+00
          1   5.00000e+05   1.47000e+02   7.18314e+34   0.00000e+00
          1   5.00000e+05   1.51000e+02   1.12591e+35   0.00000e+00
          1   5.00000e+05   1.55000e+02   1.77308e+35   0.00000e+00
          1   5.00000e+05   1.59000e+02   2.53782e+35   0.00000e+00
          1   5.00000e+05   1.62000e+02   5.89362e+34   0.00000e+00
          1   5.00000e+05   1.66000e+02   4.02962e+34   0.00000e+00
          1   5.00000e+05   1.70000e+02   6.00056e+34   0.00000e+00
          1   5.00000e+05   1.73000e+02   5.20677e+34   0.00000e+00
          1   5.00000e+05   1.77000e+02   1.40883e+35   0.00000e+00
          1   5.00000e+05   1.80000e+02   3.80798e+34   0.00000e+00
          1   5.00000e+05   1.82000e+02   1.11559e+35   0.00000e+00
          1   5.00000e+05   1.86000e+02   2.21453e+35   0.00000e+00
          1   5.00000e+05   1.91000e+02   3.17054e+35   0.00000e+00
          1   5.00000e+05   1.94000e+02   1.93379e+35   0.00000e+00
          1   5.00000e+05   1.98000e+02   2.56543e+36   0.00000e+00
          1   5.00000e+05   2.02000e+02   9.34084e+35   0.00000e+00
          1   5.00000e+05   2.05000e+02   1.17470e+36   0.00000e+00
          1   5.00000e+05   2.10000e+02   1.03145e+37   0.00000e+00
          1   5.00000e+05   2.16000e+02   8.73117e+36   0.00000e+00
          1   5.00000e+05   2.20000e+02   1.33446e+37   0.00000e+00
          1   5.00000e+05   2.23000e+02   1.72682e+37   0.00000e+00
          1   5.00000e+05   2.27000e+02   1.48627e+37   0.00000e+00
          1   5.00000e+05   2.30000e+02   2.62354e+37   0.00000e+00
          1   5.00000e+05   2.34000e+02   3.81844e+37   0.00000e+00
          1   5.00000e+05   2.40000e+02   6.74116e+37   0.00000e+00
          1   5.00000e+05   2.46000e+02   2.86256e+37   0.00000e+00
          1   5.00000e+05   2.52000e+02   2.79132e+38   0.00000e+00
          1   5.00000e+05   2.57000e+02   1.66889e+39   0.00000e+00
