 TLUSTY Ostars, Lanz & Hubeny 2003
 T 52500. G 4.00000 Abundance M03
 Frequency   Eddington Hnu
   (Hz)    (ergs/s/cm2/Hz/sr)
 6.67944E+16  3.20676E-31
 6.67573E+16  3.29260E-31
 6.67202E+16  3.41069E-31
 6.66831E+16  3.53301E-31
 6.66461E+16  3.65972E-31
 6.66091E+16  3.79097E-31
 6.65721E+16  3.92694E-31
 6.65351E+16  4.06777E-31
 6.64982E+16  4.21366E-31
 6.64612E+16  4.36478E-31
 6.64243E+16  4.52132E-31
 6.63874E+16  4.68348E-31
 6.63506E+16  4.85145E-31
 6.63137E+16  5.02544E-31
 6.62769E+16  5.20568E-31
 6.62401E+16  5.39238E-31
 6.62033E+16  5.58578E-31
 6.61665E+16  5.78611E-31
 6.61298E+16  5.99362E-31
 6.60930E+16  6.20858E-31
 6.60563E+16  6.43125E-31
 6.60196E+16  6.66190E-31
 6.59830E+16  6.90083E-31
 6.59463E+16  7.14832E-31
 6.59097E+16  7.40470E-31
 6.58731E+16  7.67026E-31
 6.58365E+16  7.94535E-31
 6.57999E+16  8.23031E-31
 6.57634E+16  8.52549E-31
 6.57269E+16  8.83125E-31
 6.56904E+16  9.14798E-31
 6.56539E+16  9.47606E-31
 6.56174E+16  9.81592E-31
 6.55810E+16  1.01680E-30
 6.55445E+16  1.05326E-30
 6.55081E+16  1.09104E-30
 6.54718E+16  1.13017E-30
 6.54354E+16  1.17070E-30
 6.53991E+16  1.21269E-30
 6.53627E+16  1.25618E-30
 6.53264E+16  1.30123E-30
 6.52901E+16  1.34790E-30
 6.52539E+16  1.39624E-30
 6.52176E+16  1.44632E-30
 6.51814E+16  1.49819E-30
 6.51452E+16  1.55192E-30
 6.51090E+16  1.60758E-30
 6.50729E+16  1.66524E-30
 6.50367E+16  1.72496E-30
 6.50006E+16  1.78682E-30
 6.49645E+16  1.85091E-30
 6.49284E+16  1.91729E-30
 6.48924E+16  1.98605E-30
 6.48563E+16  2.05728E-30
 6.48203E+16  2.13106E-30
 6.47843E+16  2.20749E-30
 6.47483E+16  2.28666E-30
 6.47124E+16  2.36867E-30
 6.46764E+16  2.45363E-30
 6.46405E+16  2.54162E-30
 6.46046E+16  2.63278E-30
 6.45687E+16  2.72720E-30
 6.45329E+16  2.82501E-30
 6.44970E+16  2.92633E-30
 6.44612E+16  3.03128E-30
 6.44254E+16  3.14000E-30
 6.43896E+16  3.25261E-30
 6.43539E+16  3.36926E-30
 6.43181E+16  3.49010E-30
 6.42824E+16  3.61477E-30
 6.42467E+16  3.74151E-30
 6.42110E+16  3.87275E-30
 6.41753E+16  4.00859E-30
 6.41397E+16  4.14919E-30
 6.41041E+16  4.29473E-30
 6.40685E+16  4.44537E-30
 6.40329E+16  4.60130E-30
 6.39973E+16  4.76270E-30
 6.39618E+16  4.92975E-30
 6.39263E+16  5.10267E-30
 6.38908E+16  5.28165E-30
 6.38553E+16  5.46691E-30
 6.38198E+16  5.65867E-30
 6.37844E+16  5.85716E-30
 6.37489E+16  6.06261E-30
 6.37135E+16  6.27526E-30
 6.36781E+16  6.49537E-30
 6.36428E+16  6.72320E-30
 6.36074E+16  6.95903E-30
 6.35721E+16  7.20313E-30
 6.35368E+16  7.45578E-30
 6.35015E+16  7.71730E-30
 6.34662E+16  7.98800E-30
 6.34310E+16  8.26819E-30
 6.33958E+16  8.55820E-30
 6.33605E+16  8.85839E-30
 6.33254E+16  9.16911E-30
 6.32902E+16  9.49073E-30
 6.32550E+16  9.82363E-30
 6.32199E+16  1.01682E-29
 6.31848E+16  1.05249E-29
 6.31497E+16  1.08940E-29
 6.31146E+16  1.12762E-29
 6.30796E+16  1.16717E-29
 6.30445E+16  1.20811E-29
 6.30095E+16  1.25048E-29
 6.29745E+16  1.29435E-29
 6.29395E+16  1.33975E-29
 6.29046E+16  1.38674E-29
 6.28697E+16  1.43538E-29
 6.28347E+16  1.48573E-29
 6.27998E+16  1.53784E-29
 6.27650E+16  1.59179E-29
 6.27301E+16  1.64762E-29
 6.26953E+16  1.70541E-29
 6.26604E+16  1.76523E-29
 6.26256E+16  1.82715E-29
 6.25909E+16  1.89124E-29
 6.25561E+16  1.95758E-29
 6.25213E+16  2.02624E-29
 6.24866E+16  2.09731E-29
 6.24519E+16  2.17088E-29
 6.24172E+16  2.24702E-29
 6.23826E+16  2.32584E-29
 6.23479E+16  2.40742E-29
 6.23133E+16  2.49187E-29
 6.22787E+16  2.57927E-29
 6.22441E+16  2.66974E-29
 6.22095E+16  2.76339E-29
 6.21750E+16  2.86032E-29
 6.21404E+16  2.96065E-29
 6.21059E+16  3.06449E-29
 6.20714E+16  3.17198E-29
 6.20370E+16  3.28325E-29
 6.20025E+16  3.39841E-29
 6.19681E+16  3.51761E-29
 6.19337E+16  3.64100E-29
 6.18993E+16  3.76871E-29
 6.18649E+16  3.90090E-29
 6.18305E+16  4.03773E-29
 6.17962E+16  4.17951E-29
 6.17619E+16  4.32341E-29
 6.17276E+16  4.47111E-29
 6.16933E+16  4.62386E-29
 6.16590E+16  4.78183E-29
 6.16248E+16  4.94520E-29
 6.15905E+16  5.11415E-29
