 TLUSTY Ostars, Lanz & Hubeny 2003
 T 32500. G 3.50000 M07 TLUSTY
 Frequency   Eddington Hnu
   (Hz)    (ergs/s/cm2/Hz/sr)
 6.67944E+16  3.97775E-56
 6.67573E+16  4.16919E-56
 6.67202E+16  4.43909E-56
 6.66831E+16  4.72646E-56
 6.66461E+16  5.03243E-56
 6.66091E+16  5.35822E-56
 6.65721E+16  5.70509E-56
 6.65351E+16  6.07442E-56
 6.64982E+16  6.46765E-56
 6.64612E+16  6.88635E-56
 6.64243E+16  7.33214E-56
 6.63874E+16  7.80680E-56
 6.63506E+16  8.31219E-56
 6.63137E+16  8.85029E-56
 6.62769E+16  9.42323E-56
 6.62401E+16  1.00333E-55
 6.62033E+16  1.06828E-55
 6.61665E+16  1.13743E-55
 6.61298E+16  1.21107E-55
 6.60930E+16  1.28947E-55
 6.60563E+16  1.37294E-55
 6.60196E+16  1.46182E-55
 6.59830E+16  1.55646E-55
 6.59463E+16  1.65722E-55
 6.59097E+16  1.76450E-55
 6.58731E+16  1.87873E-55
 6.58365E+16  2.00035E-55
 6.57999E+16  2.12984E-55
 6.57634E+16  2.26772E-55
 6.57269E+16  2.41453E-55
 6.56904E+16  2.57084E-55
 6.56539E+16  2.73726E-55
 6.56174E+16  2.91446E-55
 6.55810E+16  3.10314E-55
 6.55445E+16  3.30402E-55
 6.55081E+16  3.51791E-55
 6.54718E+16  3.74565E-55
 6.54354E+16  3.98813E-55
 6.53991E+16  4.24631E-55
 6.53627E+16  4.52120E-55
 6.53264E+16  4.81389E-55
 6.52901E+16  5.12552E-55
 6.52539E+16  5.45733E-55
 6.52176E+16  5.81062E-55
 6.51814E+16  6.18678E-55
 6.51452E+16  6.58729E-55
 6.51090E+16  7.01373E-55
 6.50729E+16  7.46777E-55
 6.50367E+16  7.95121E-55
 6.50006E+16  8.46594E-55
 6.49645E+16  9.01400E-55
 6.49284E+16  9.59754E-55
 6.48924E+16  1.02188E-54
 6.48563E+16  1.08804E-54
 6.48203E+16  1.15847E-54
 6.47843E+16  1.23347E-54
 6.47483E+16  1.31332E-54
 6.47124E+16  1.39834E-54
 6.46764E+16  1.48886E-54
 6.46405E+16  1.58525E-54
 6.46046E+16  1.68787E-54
 6.45687E+16  1.79714E-54
 6.45329E+16  1.91348E-54
 6.44970E+16  2.03735E-54
 6.44612E+16  2.16924E-54
 6.44254E+16  2.30967E-54
 6.43896E+16  2.45919E-54
 6.43539E+16  2.61839E-54
 6.43181E+16  2.78790E-54
 6.42824E+16  2.96697E-54
 6.42467E+16  3.15090E-54
 6.42110E+16  3.34637E-54
 6.41753E+16  3.55396E-54
 6.41397E+16  3.77443E-54
 6.41041E+16  4.00858E-54
 6.40685E+16  4.25725E-54
