 TLUSTY Ostars, Lanz & Hubeny 2003
 T 50000. G 4.00000 P00 TLUSTY,
 Frequency   Eddington Hnu
   (Hz)    (ergs/s/cm2/Hz/sr)
 6.67944E+16  9.74305E-34
 6.67573E+16  1.00264E-33
 6.67202E+16  1.04173E-33
 6.66831E+16  1.08234E-33
 6.66461E+16  1.12454E-33
 6.66091E+16  1.16838E-33
 6.65721E+16  1.21393E-33
 6.65351E+16  1.26125E-33
 6.64982E+16  1.31042E-33
 6.64612E+16  1.36151E-33
 6.64243E+16  1.41459E-33
 6.63874E+16  1.46973E-33
 6.63506E+16  1.52703E-33
 6.63137E+16  1.58656E-33
 6.62769E+16  1.64842E-33
 6.62401E+16  1.71268E-33
 6.62033E+16  1.77945E-33
 6.61665E+16  1.84882E-33
 6.61298E+16  1.92090E-33
 6.60930E+16  1.99578E-33
 6.60563E+16  2.07359E-33
 6.60196E+16  2.15443E-33
 6.59830E+16  2.23842E-33
 6.59463E+16  2.32569E-33
 6.59097E+16  2.41635E-33
 6.58731E+16  2.51055E-33
 6.58365E+16  2.60843E-33
 6.57999E+16  2.71012E-33
 6.57634E+16  2.81577E-33
 6.57269E+16  2.92555E-33
 6.56904E+16  3.03960E-33
 6.56539E+16  3.15810E-33
 6.56174E+16  3.28122E-33
 6.55810E+16  3.40914E-33
 6.55445E+16  3.54204E-33
 6.55081E+16  3.68013E-33
 6.54718E+16  3.82360E-33
 6.54354E+16  3.97266E-33
 6.53991E+16  4.12754E-33
 6.53627E+16  4.28845E-33
 6.53264E+16  4.45564E-33
 6.52901E+16  4.62934E-33
 6.52539E+16  4.80982E-33
 6.52176E+16  4.99733E-33
 6.51814E+16  5.19215E-33
 6.51452E+16  5.39456E-33
 6.51090E+16  5.60487E-33
 6.50729E+16  5.82338E-33
 6.50367E+16  6.05040E-33
 6.50006E+16  6.28628E-33
 6.49645E+16  6.53135E-33
 6.49284E+16  6.78598E-33
 6.48924E+16  7.05053E-33
 6.48563E+16  7.32540E-33
 6.48203E+16  7.61098E-33
 6.47843E+16  7.90769E-33
 6.47483E+16  8.21597E-33
 6.47124E+16  8.53627E-33
 6.46764E+16  8.86906E-33
 6.46405E+16  9.21482E-33
 6.46046E+16  9.57407E-33
 6.45687E+16  9.94731E-33
 6.45329E+16  1.03351E-32
 6.44970E+16  1.07380E-32
 6.44612E+16  1.11566E-32
 6.44254E+16  1.15916E-32
 6.43896E+16  1.20435E-32
 6.43539E+16  1.25130E-32
 6.43181E+16  1.30008E-32
 6.42824E+16  1.35049E-32
 6.42467E+16  1.40165E-32
 6.42110E+16  1.45476E-32
 6.41753E+16  1.50988E-32
 6.41397E+16  1.56709E-32
 6.41041E+16  1.62647E-32
 6.40685E+16  1.68810E-32
 6.40329E+16  1.75206E-32
 6.39973E+16  1.81845E-32
 6.39618E+16  1.88735E-32
 6.39263E+16  1.95886E-32
 6.38908E+16  2.03308E-32
 6.38553E+16  2.11012E-32
 6.38198E+16  2.19007E-32
 6.37844E+16  2.27305E-32
 6.37489E+16  2.35918E-32
 6.37135E+16  2.44857E-32
 6.36781E+16  2.54135E-32
 6.36428E+16  2.63764E-32
 6.36074E+16  2.73758E-32
 6.35721E+16  2.84131E-32
 6.35368E+16  2.94897E-32
 6.35015E+16  3.06070E-32
 6.34662E+16  3.17667E-32
 6.34310E+16  3.29704E-32
 6.33958E+16  3.42197E-32
 6.33605E+16  3.55163E-32
 6.33254E+16  3.68620E-32
 6.32902E+16  3.82587E-32
 6.32550E+16  3.97083E-32
 6.32199E+16  4.12129E-32
 6.31848E+16  4.27745E-32
 6.31497E+16  4.43952E-32
 6.31146E+16  4.60774E-32
 6.30796E+16  4.78233E-32
 6.30445E+16  4.96353E-32
 6.30095E+16  5.15160E-32
 6.29745E+16  5.34680E-32
 6.29395E+16  5.54939E-32
 6.29046E+16  5.75966E-32
 6.28697E+16  5.97790E-32
 6.28347E+16  6.20440E-32
 6.27998E+16  6.43949E-32
 6.27650E+16  6.68348E-32
 6.27301E+16  6.93672E-32
 6.26953E+16  7.19956E-32
 6.26604E+16  7.47235E-32
 6.26256E+16  7.75548E-32
 6.25909E+16  8.04934E-32
 6.25561E+16  8.35433E-32
 6.25213E+16  8.67088E-32
 6.24866E+16  8.99943E-32
 6.24519E+16  9.34042E-32
 6.24172E+16  9.69433E-32
 6.23826E+16  1.00617E-31
 6.23479E+16  1.04429E-31
 6.23133E+16  1.08386E-31
 6.22787E+16  1.12493E-31
 6.22441E+16  1.16755E-31
 6.22095E+16  1.21179E-31
 6.21750E+16  1.25770E-31
 6.21404E+16  1.30536E-31
 6.21059E+16  1.35482E-31
 6.20714E+16  1.40615E-31
 6.20370E+16  1.45943E-31
 6.20025E+16  1.51473E-31
 6.19681E+16  1.57213E-31
 6.19337E+16  1.63169E-31
 6.18993E+16  1.69352E-31
 6.18649E+16  1.75769E-31
 6.18305E+16  1.82429E-31
 6.17962E+16  1.89349E-31
 6.17619E+16  1.96374E-31
 6.17276E+16  2.03594E-31
 6.16933E+16  2.11080E-31
 6.16590E+16  2.18842E-31
 6.16248E+16  2.26889E-31
 6.15905E+16  2.35232E-31
 6.15563E+16  2.43881E-31
 6.15221E+16  2.52849E-31
 6.14880E+16  2.62146E-31
 6.14538E+16  2.71785E-31
 6.14197E+16  2.81779E-31
 6.13856E+16  2.92140E-31
 6.13515E+16  3.02882E-31
 6.13174E+16  3.14019E-31
 6.12834E+16  3.25565E-31
 6.12493E+16  3.37536E-31
 6.12153E+16  3.49948E-31
 6.11813E+16  3.62815E-31
 6.11473E+16  3.76156E-31
 6.11134E+16  3.89988E-31
 6.10794E+16  4.04327E-31
 6.10455E+16  4.19195E-31
 6.10116E+16  4.34609E-31
 6.09777E+16  4.50589E-31
 6.09438E+16  4.67157E-31
 6.09100E+16  4.84335E-31
 6.08762E+16  5.02144E-31
 6.08423E+16  5.20608E-31
 6.08086E+16  5.39751E-31
 6.07748E+16  5.59598E-31
 6.07410E+16  5.80174E-31
 6.07073E+16  6.01507E-31
 6.06736E+16  6.23625E-31
 6.06399E+16  6.46556E-31
 6.06062E+16  6.70330E-31
 6.05725E+16  6.94978E-31
 6.05389E+16  7.20532E-31
 6.05053E+16  7.47027E-31
 6.04717E+16  7.74495E-31
 6.04381E+16  8.02973E-31
 6.04045E+16  8.32499E-31
 6.03710E+16  8.63110E-31
 6.03374E+16  8.94847E-31
 6.03039E+16  9.27750E-31
 6.02704E+16  9.61864E-31
 6.02370E+16  9.97232E-31
 6.02035E+16  1.03390E-30
 6.01701E+16  1.07192E-30
 6.01366E+16  1.11133E-30
 6.01032E+16  1.15220E-30
 6.00699E+16  1.19456E-30
 6.00365E+16  1.23849E-30
 6.00032E+16  1.28403E-30
 5.99698E+16  1.33124E-30
 5.99365E+16  1.38019E-30
 5.99032E+16  1.43094E-30
 5.98700E+16  1.48356E-30
 5.98367E+16  1.53811E-30
 5.98035E+16  1.59466E-30
 5.97703E+16  1.65330E-30
 5.97371E+16  1.71409E-30
 5.97039E+16  1.77712E-30
 5.96707E+16  1.84246E-30
 5.96376E+16  1.91021E-30
 5.96045E+16  1.98045E-30
 5.95714E+16  2.05327E-30
 5.95383E+16  2.12877E-30
 5.95052E+16  2.20705E-30
 5.94722E+16  2.28820E-30
 5.94391E+16  2.37234E-30
 5.94061E+16  2.45957E-30
 5.93731E+16  2.55001E-30
 5.93402E+16  2.64377E-30
 5.93072E+16  2.74098E-30
 5.92743E+16  2.84120E-30
 5.92413E+16  2.94242E-30
 5.92084E+16  3.04723E-30
 5.91755E+16  3.15577E-30
 5.91427E+16  3.26817E-30
 5.91098E+16  3.38458E-30
 5.90770E+16  3.50514E-30
 5.90442E+16  3.62999E-30
 5.90114E+16  3.75929E-30
 5.89786E+16  3.89319E-30
 5.89459E+16  4.03186E-30
 5.89131E+16  4.17547E-30
 5.88804E+16  4.32420E-30
 5.88477E+16  4.47822E-30
 5.88150E+16  4.63774E-30
 5.87824E+16  4.80293E-30
 5.87497E+16  4.97400E-30
 5.87171E+16  5.15117E-30
 5.86845E+16  5.33465E-30
 5.86519E+16  5.52467E-30
 5.86193E+16  5.72145E-30
 5.85867E+16  5.92525E-30
 5.85542E+16  6.13630E-30
 5.85217E+16  6.35487E-30
 5.84892E+16  6.58122E-30
 5.84567E+16  6.81564E-30
 5.84242E+16  7.05841E-30
