 TLUSTY Ostars, Lanz & Hubeny 2003
 T 35000. G 3.25000 Abundance P03
 Frequency   Eddington Hnu
   (Hz)    (ergs/s/cm2/Hz/sr)
 6.67944E+16  2.86999E-50
 6.67573E+16  2.98354E-50
 6.67202E+16  3.14208E-50
 6.66831E+16  3.30905E-50
 6.66461E+16  3.48489E-50
 6.66091E+16  3.67007E-50
 6.65721E+16  3.86510E-50
 6.65351E+16  4.07048E-50
 6.64982E+16  4.28679E-50
 6.64612E+16  4.51458E-50
 6.64243E+16  4.75448E-50
 6.63874E+16  5.00713E-50
 6.63506E+16  5.27320E-50
 6.63137E+16  5.55341E-50
 6.62769E+16  5.84851E-50
 6.62401E+16  6.15930E-50
 6.62033E+16  6.48660E-50
 6.61665E+16  6.83129E-50
 6.61298E+16  7.19429E-50
 6.60930E+16  7.57659E-50
 6.60563E+16  7.97920E-50
 6.60196E+16  8.40321E-50
 6.59830E+16  8.84975E-50
 6.59463E+16  9.32001E-50
 6.59097E+16  9.81527E-50
 6.58731E+16  1.03368E-49
 6.58365E+16  1.08861E-49
 6.57999E+16  1.14646E-49
 6.57634E+16  1.20738E-49
 6.57269E+16  1.27154E-49
 6.56904E+16  1.33911E-49
 6.56539E+16  1.41027E-49
 6.56174E+16  1.48521E-49
 6.55810E+16  1.56413E-49
 6.55445E+16  1.64725E-49
 6.55081E+16  1.73478E-49
 6.54718E+16  1.82696E-49
 6.54354E+16  1.92405E-49
 6.53991E+16  2.02629E-49
 6.53627E+16  2.13396E-49
 6.53264E+16  2.24736E-49
 6.52901E+16  2.36678E-49
 6.52539E+16  2.49255E-49
 6.52176E+16  2.62500E-49
 6.51814E+16  2.76449E-49
 6.51452E+16  2.91139E-49
 6.51090E+16  3.06610E-49
 6.50729E+16  3.22903E-49
 6.50367E+16  3.40062E-49
 6.50006E+16  3.58132E-49
 6.49645E+16  3.77163E-49
 6.49284E+16  3.97205E-49
 6.48924E+16  4.18312E-49
 6.48563E+16  4.40540E-49
 6.48203E+16  4.63950E-49
 6.47843E+16  4.88604E-49
 6.47483E+16  5.14568E-49
 6.47124E+16  5.41911E-49
 6.46764E+16  5.70708E-49
 6.46405E+16  6.01035E-49
 6.46046E+16  6.32973E-49
 6.45687E+16  6.66609E-49
 6.45329E+16  7.02031E-49
 6.44970E+16  7.39337E-49
 6.44612E+16  7.78624E-49
 6.44254E+16  8.19999E-49
 6.43896E+16  8.63573E-49
 6.43539E+16  9.09462E-49
 6.43181E+16  9.57790E-49
 6.42824E+16  1.00844E-48
 6.42467E+16  1.06046E-48
 6.42110E+16  1.11520E-48
 6.41753E+16  1.17278E-48
 6.41397E+16  1.23333E-48
 6.41041E+16  1.29700E-48
 6.40685E+16  1.36396E-48
 6.40329E+16  1.43438E-48
 6.39973E+16  1.50843E-48
 6.39618E+16  1.58631E-48
 6.39263E+16  1.66821E-48
 6.38908E+16  1.75433E-48
 6.38553E+16  1.84490E-48
 6.38198E+16  1.94015E-48
 6.37844E+16  2.04032E-48
 6.37489E+16  2.14565E-48
 6.37135E+16  2.25643E-48
 6.36781E+16  2.37292E-48
 6.36428E+16  2.49543E-48
 6.36074E+16  2.62427E-48
 6.35721E+16  2.75975E-48
 6.35368E+16  2.90223E-48
 6.35015E+16  3.05206E-48
 6.34662E+16  3.20963E-48
 6.34310E+16  3.37534E-48
 6.33958E+16  3.54960E-48
 6.33605E+16  3.73286E-48
 6.33254E+16  3.92558E-48
 6.32902E+16  4.12824E-48
 6.32550E+16  4.34138E-48
 6.32199E+16  4.56551E-48
 6.31848E+16  4.80122E-48
 6.31497E+16  5.04909E-48
 6.31146E+16  5.30976E-48
 6.30796E+16  5.58389E-48
 6.30445E+16  5.87218E-48
 6.30095E+16  6.17534E-48
 6.29745E+16  6.49416E-48
 6.29395E+16  6.82944E-48
 6.29046E+16  7.18203E-48
 6.28697E+16  7.55282E-48
 6.28347E+16  7.94275E-48
 6.27998E+16  8.35282E-48
 6.27650E+16  8.78405E-48
 6.27301E+16  9.23755E-48
 6.26953E+16  9.71446E-48
 6.26604E+16  1.02160E-47
 6.26256E+16  1.07434E-47
 6.25909E+16  1.12981E-47
 6.25561E+16  1.18814E-47
 6.25213E+16  1.24948E-47
 6.24866E+16  1.31399E-47
 6.24519E+16  1.38182E-47
 6.24172E+16  1.45316E-47
 6.23826E+16  1.52819E-47
 6.23479E+16  1.60708E-47
 6.23133E+16  1.69005E-47
 6.22787E+16  1.77731E-47
 6.22441E+16  1.86906E-47
 6.22095E+16  1.96556E-47
 6.21750E+16  2.06704E-47
 6.21404E+16  2.17375E-47
 6.21059E+16  2.28598E-47
 6.20714E+16  2.40400E-47
 6.20370E+16  2.52811E-47
 6.20025E+16  2.65863E-47
 6.19681E+16  2.79589E-47
 6.19337E+16  2.94023E-47
 6.18993E+16  3.09203E-47
 6.18649E+16  3.25167E-47
 6.18305E+16  3.41954E-47
 6.17962E+16  3.59639E-47
 6.17619E+16  3.77874E-47
 6.17276E+16  3.96912E-47
 6.16933E+16  4.16909E-47
 6.16590E+16  4.37914E-47
 6.16248E+16  4.59976E-47
 6.15905E+16  4.83151E-47
 6.15563E+16  5.07492E-47
 6.15221E+16  5.33061E-47
 6.14880E+16  5.59917E-47
 6.14538E+16  5.88126E-47
 6.14197E+16  6.17757E-47
 6.13856E+16  6.48880E-47
 6.13515E+16  6.81572E-47
 6.13174E+16  7.15910E-47
 6.12834E+16  7.51979E-47
 6.12493E+16  7.89865E-47
 6.12153E+16  8.29659E-47
 6.11813E+16  8.71458E-47
 6.11473E+16  9.15364E-47
 6.11134E+16  9.61481E-47
 6.10794E+16  1.00992E-46
 6.10455E+16  1.06080E-46
 6.10116E+16  1.11425E-46
 6.09777E+16  1.17038E-46
 6.09438E+16  1.22935E-46
 6.09100E+16  1.29129E-46
 6.08762E+16  1.35634E-46
 6.08423E+16  1.42468E-46
 6.08086E+16  1.49646E-46
 6.07748E+16  1.57185E-46
 6.07410E+16  1.65104E-46
 6.07073E+16  1.73422E-46
 6.06736E+16  1.82159E-46
 6.06399E+16  1.91337E-46
 6.06062E+16  2.00977E-46
 6.05725E+16  2.11102E-46
 6.05389E+16  2.21738E-46
 6.05053E+16  2.32909E-46
 6.04717E+16  2.44644E-46
 6.04381E+16  2.56969E-46
 6.04045E+16  2.69915E-46
 6.03710E+16  2.83514E-46
 6.03374E+16  2.97798E-46
 6.03039E+16  3.12801E-46
 6.02704E+16  3.28561E-46
 6.02370E+16  3.45114E-46
 6.02035E+16  3.62501E-46
 6.01701E+16  3.80765E-46
 6.01366E+16  3.99948E-46
 6.01032E+16  4.20098E-46
 6.00699E+16  4.41263E-46
 6.00365E+16  4.63495E-46
 6.00032E+16  4.86846E-46
 5.99698E+16  5.11374E-46
 5.99365E+16  5.37138E-46
 5.99032E+16  5.64200E-46
 5.98700E+16  5.92625E-46
 5.98367E+16  6.22482E-46
 5.98035E+16  6.53843E-46
 5.97703E+16  6.86785E-46
 5.97371E+16  7.21386E-46
 5.97039E+16  7.57731E-46
 5.96707E+16  7.95906E-46
 5.96376E+16  8.36005E-46
 5.96045E+16  8.78124E-46
 5.95714E+16  9.22365E-46
 5.95383E+16  9.68835E-46
 5.95052E+16  1.01765E-45
 5.94722E+16  1.06892E-45
 5.94391E+16  1.12277E-45
 5.94061E+16  1.17934E-45
 5.93731E+16  1.23875E-45
 5.93402E+16  1.30116E-45
 5.93072E+16  1.36672E-45
 5.92743E+16  1.43536E-45
 5.92413E+16  1.50598E-45
 5.92084E+16  1.58014E-45
 5.91755E+16  1.65795E-45
 5.91427E+16  1.73959E-45
 5.91098E+16  1.82525E-45
 5.90770E+16  1.91513E-45
 5.90442E+16  2.00944E-45
 5.90114E+16  2.10838E-45
 5.89786E+16  2.21221E-45
 5.89459E+16  2.32114E-45
 5.89131E+16  2.43544E-45
