 WMBASIC, Moont, Westmoquette 2004 (Pauldrach 2003) after SNC 2002
 Z/Z0 0.05 Teff 25.00 logg 4.00 R/R0 7.07 R 4.9172E+11
   Wavelength   Eddington Hnu
 (Angstroms) (erg/s/cm2/Hz/sr)
 5.00000000E+01 1.70059990E-54
 5.34837490E+01 3.04296570E-55
 5.74893160E+01 5.46534640E-54
 6.21434350E+01 1.38489620E-50
 6.57151460E+01 2.18267990E-48
 6.97224650E+01 2.76691330E-46
 7.19151640E+01 2.82352490E-45
 7.42502560E+01 2.67077110E-44
 7.42530130E+01 2.68724420E-44
 8.10000000E+01 5.68291440E-42
 8.53333920E+01 8.39324230E-41
 9.09000000E+01 1.36121920E-39
 9.61000000E+01 1.08860770E-38
 1.00305760E+02 4.52243680E-38
 1.05600000E+02 2.25363780E-37
 1.10400000E+02 9.06678190E-37
 1.14000000E+02 2.58928350E-36
 1.17800000E+02 7.97287580E-36
 1.21650180E+02 2.52824790E-35
 1.24800000E+02 6.56485110E-35
 1.28400000E+02 2.00821560E-34
 1.32400000E+02 7.66056980E-34
 1.36134440E+02 3.18446650E-33
 1.39800000E+02 1.54406890E-32
 1.43300000E+02 7.68707720E-32
 1.47200000E+02 4.68071380E-31
 1.51000000E+02 2.61610510E-30
 1.54534020E+02 1.22487420E-29
 1.54535210E+02 1.19217750E-29
 1.57236080E+02 3.72969900E-29
 1.60034310E+02 1.17060720E-28
 1.60035590E+02 1.17120830E-28
 1.60224390E+02 1.26343060E-28
 1.60225670E+02 1.26408080E-28
 1.64616180E+02 7.02213730E-28
 1.69255510E+02 3.90664200E-27
 1.74163930E+02 2.17288440E-26
 1.76726470E+02 5.12297520E-26
 1.79365540E+02 1.20750420E-25
 1.79367150E+02 1.20812610E-25
 1.80916590E+02 1.97519190E-25
 1.80918230E+02 1.97620880E-25
 1.83620910E+02 4.56553870E-25
 1.86407310E+02 1.05493170E-24
 1.89279570E+02 2.43666530E-24
 1.90749160E+02 3.70269890E-24
 1.92241740E+02 5.62596660E-24
 1.92243590E+02 5.62884680E-24
 1.93422340E+02 7.79621470E-24
 1.94617540E+02 1.08029760E-23
 1.94619430E+02 1.08023480E-23
 1.95850210E+02 1.50508850E-23
 1.97098590E+02 2.09796680E-23
 1.97100530E+02 2.09904420E-23
 1.98877180E+02 3.34283070E-23
 2.00688160E+02 5.32558110E-23
 2.00690170E+02 5.32831440E-23
 2.01029230E+02 5.80822180E-23
 2.01031250E+02 5.81120260E-23
 2.02358650E+02 8.12201190E-23
 2.02360700E+02 8.12617910E-23
 2.03566670E+02 1.09725300E-22
 2.04789200E+02 1.48224860E-22
 2.04791300E+02 1.48296140E-22
 2.07799050E+02 3.06059280E-22
 2.10898700E+02 6.31712760E-22
 2.14092210E+02 1.30327390E-21
 2.15725520E+02 1.87160640E-21
 2.17383930E+02 2.68743240E-21
 2.17386300E+02 2.68880720E-21
 2.18149610E+02 3.16996790E-21
 2.18151990E+02 3.17158860E-21
 2.19479890E+02 4.21149850E-21
 2.19482300E+02 4.21365190E-21
 2.21038630E+02 5.84885130E-21
 2.22619670E+02 8.12178590E-21
 2.22622150E+02 8.12593560E-21
 2.23980340E+02 1.07325870E-20
 2.25357750E+02 1.41812940E-20
 2.25360290E+02 1.41885350E-20
 2.25609880E+02 1.49177080E-20
