 WMBASIC, Moont, Westmoquette 2004 (Pauldrach 2003) after SNC 2002
 Z/Z0 2.00 Teff 50.00 logg 4.00 R/R0 9.80 R 6.8160E+11
   Wavelength   Eddington Hnu
 (Angstroms) (erg/s/cm2/Hz/sr)
 5.00000000E+01 1.06078580E-33
 5.53001880E+01 1.13732170E-31
 6.18572940E+01 1.15179670E-29
 7.01785730E+01 3.34680660E-27
 7.14852590E+01 9.10983820E-27
 7.28415280E+01 2.71860600E-26
 7.35391460E+01 4.88948310E-26
 7.42502560E+01 9.05999610E-26
 7.42530130E+01 7.82199560E-26
 7.72377550E+01 3.07955960E-25
 8.04757400E+01 1.39522620E-24
 8.39970920E+01 7.46058400E-24
 8.58759150E+01 1.86704630E-23
 8.78407110E+01 5.03278830E-23
 8.78445690E+01 4.69383660E-23
 8.87928230E+01 7.69867640E-23
 8.97658010E+01 1.30050540E-22
 8.97698300E+01 1.30254190E-22
 9.03282960E+01 1.77517810E-22
 9.08978860E+01 2.45118860E-22
 9.09020170E+01 2.44802290E-22
 9.25243130E+01 6.38807010E-22
 9.42100040E+01 1.83407990E-21
 9.42144420E+01 1.83922090E-21
 9.60831740E+01 6.23205140E-21
 9.80323440E+01 2.28914880E-20
 9.80371490E+01 2.22999020E-20
 9.83013530E+01 2.66445320E-20
 9.83061840E+01 2.67313260E-20
 9.92180430E+01 4.93650670E-20
 9.92229650E+01 3.70171920E-20
 1.00018170E+02 6.42041410E-20
 1.00831310E+02 1.12121010E-19
 1.00831820E+02 1.09766820E-19
 1.00955720E+02 1.19464220E-19
 1.00956230E+02 1.19215530E-19
 1.01176410E+02 1.38533010E-19
 1.01176920E+02 1.33951490E-19
 1.02009210E+02 2.35804050E-19
 1.02009730E+02 2.31708900E-19
 1.03240150E+02 5.27929570E-19
 1.04501150E+02 1.20515870E-18
 1.04501690E+02 1.20554440E-18
 1.05314160E+02 2.03156230E-18
 1.06139920E+02 3.42570750E-18
 1.06140480E+02 3.42664230E-18
 1.06715730E+02 4.90819610E-18
 1.07297830E+02 7.03323870E-18
 1.07298410E+02 7.03562290E-18
 1.08067960E+02 1.12535340E-17
 1.08849220E+02 1.80069300E-17
 1.08849820E+02 1.83615120E-17
 1.11066990E+02 6.69599610E-17
 1.13377010E+02 2.44520910E-16
 1.13377660E+02 2.51383690E-16
 1.14496000E+02 4.59854580E-16
 1.15637300E+02 8.42019520E-16
 1.15637960E+02 8.42315110E-16
 1.16979650E+02 1.69008320E-15
 1.18353530E+02 3.39265730E-15
 1.18354230E+02 3.39384810E-15
 1.18360690E+02 3.40485220E-15
 1.18361390E+02 3.40604780E-15
 1.18952510E+02 4.57383890E-15
 1.19550290E+02 6.14395110E-15
 1.19551000E+02 6.14615130E-15
 1.21713390E+02 1.74381310E-14
 1.23956210E+02 4.94452890E-14
 1.23956980E+02 1.50491770E-14
 1.24737770E+02 2.13750540E-14
 1.24738550E+02 2.13824580E-14
 1.25689800E+02 3.25946200E-14
 1.26656480E+02 4.96987900E-14
 1.26657280E+02 4.97533450E-14
 1.26797720E+02 5.28681030E-14
 1.26798530E+02 3.49241990E-14
 1.27081660E+02 3.94364100E-14
 1.27082470E+02 2.24222270E-14
 1.27447660E+02 2.61963920E-14
 1.27448480E+02 1.28624310E-13
 1.27598120E+02 1.32140690E-13
 1.27598940E+02 1.33546660E-13
 1.27944040E+02 1.42288000E-13
 1.27944860E+02 1.25397610E-13
 1.28310670E+02 1.32465220E-13
 1.28311500E+02 9.85744310E-14
 1.29932340E+02 1.08749310E-13
 1.31595520E+02 1.21871580E-13
 1.31596380E+02 1.60875220E-13
 1.32580630E+02 1.70676080E-13
 1.33580600E+02 1.82730350E-13
 1.33581490E+02 2.27331950E-13
 1.34475920E+02 2.39691630E-13
 1.35383330E+02 2.55110140E-13
 1.35384240E+02 1.34432720E-12
 1.37035540E+02 1.33356290E-12
 1.38728580E+02 1.31609830E-12
 1.38729540E+02 1.31612770E-12
 1.39886210E+02 1.30344340E-12
 1.41063320E+02 1.29313000E-12
 1.41064320E+02 1.14185400E-12
 1.43355700E+02 1.15670250E-12
 1.45723810E+02 1.25083520E-12
 1.48171480E+02 1.53468230E-12
 1.49426410E+02 1.81296230E-12
 1.50702770E+02 2.24223950E-12
 1.50703910E+02 2.24378030E-12
 1.52594350E+02 3.28856390E-12
 1.54534020E+02 5.16545230E-12
 1.54535210E+02 6.65346920E-12
 1.55996320E+02 9.09137600E-12
 1.57486560E+02 1.28324140E-11
 1.57487800E+02 1.29429550E-11
 1.58750220E+02 1.74468880E-11
 1.60034310E+02 2.38365830E-11
 1.60035590E+02 2.93544300E-11
 1.60176710E+02 2.85774320E-11
 1.60224390E+02 3.06279950E-11
 1.60225670E+02 1.06390720E-07
 1.60470520E+02 1.63609790E-10
 1.60764870E+02 3.24577450E-10
 1.61059770E+02 3.12556950E-10
 1.61355200E+02 3.72092010E-11
 1.61651180E+02 2.07768070E-10
 1.61947700E+02 1.02225420E-09
 1.62147230E+02 5.94154170E-09
 1.62244760E+02 8.41663010E-09
 1.62542370E+02 2.05096960E-08
 1.62840520E+02 3.12284590E-08
 1.63139220E+02 3.55532410E-10
 1.63438470E+02 5.78125830E-09
 1.63738270E+02 1.31281130E-08
 1.64038610E+02 1.83050980E-08
 1.64116780E+02 1.86194790E-08
