 WMBASIC, Moont, Westmoquette 2004 (Pauldrach 2003) after SNC 2002
 Z/Z0 0.40 Teff 37.15 logg 3.40 R/R0 23.56 R 1.6386E+12
   Wavelength   Eddington Hnu
 (Angstroms) (erg/s/cm2/Hz/sr)
 5.00000000E+01 1.29878610E-40
 5.44728350E+01 7.64079890E-39
 5.98245410E+01 2.34960590E-37
 6.63423760E+01 3.39517480E-36
 6.87842880E+01 6.82466600E-36
 7.14128330E+01 1.27417820E-35
 7.28039090E+01 1.71648690E-35
 7.42502560E+01 2.36961350E-35
 7.42530130E+01 7.65136340E-35
 8.06599260E+01 9.67752760E-35
 8.50000000E+01 8.40177040E-35
 8.82807830E+01 6.74566660E-35
 9.35000000E+01 5.67248230E-35
 9.74919540E+01 7.10315840E-34
 1.02858030E+02 8.04331260E-32
 1.08849220E+02 9.26941400E-30
 1.08849820E+02 9.27350980E-30
 1.11066990E+02 4.68983530E-29
 1.13377010E+02 2.36550670E-28
 1.13377660E+02 2.36654380E-28
 1.14859780E+02 6.44855740E-28
 1.16381840E+02 1.75593140E-27
 1.17944790E+02 4.77604890E-27
 1.18742110E+02 7.87356660E-27
 1.19550290E+02 1.29765010E-26
 1.19551000E+02 1.29821950E-26
 1.21713390E+02 4.77760780E-26
 1.23956210E+02 1.75591570E-25
 1.23956980E+02 7.96888750E-26
 1.25291800E+02 1.68864000E-25
 1.26656480E+02 3.57813720E-25
 1.26657280E+02 3.57969930E-25
 1.26797720E+02 3.86365490E-25
 1.26798530E+02 3.50563340E-25
 1.27081660E+02 4.08653890E-25
 1.27082470E+02 3.74905010E-25
 1.27447660E+02 4.56454390E-25
 1.27448480E+02 4.56647130E-25
 1.27944040E+02 5.95345180E-25
 1.27944860E+02 5.82564060E-25
 1.28310670E+02 7.07614320E-25
 1.28311500E+02 6.86428830E-25
 1.29932340E+02 1.60321620E-24
 1.31595520E+02 3.74430080E-24
 1.31596380E+02 3.74593330E-24
 1.33462550E+02 9.45658270E-24
 1.35383330E+02 2.38706230E-23
 1.35384240E+02 2.38810140E-23
 1.37200850E+02 5.59501850E-23
 1.39067840E+02 1.31079060E-22
 1.39068810E+02 1.31136080E-22
 1.40058470E+02 2.03998300E-22
 1.41063320E+02 3.17437800E-22
 1.41064320E+02 3.17575790E-22
 1.41853670E+02 4.47448990E-22
 1.41854680E+02 4.47643450E-22
 1.43685140E+02 9.76700240E-22
 1.45564520E+02 2.13084230E-21
 1.45565580E+02 2.13176710E-21
 1.47707840E+02 5.05944280E-21
 1.49915230E+02 1.20033710E-20
 1.52189590E+02 2.84516100E-20
 1.53352840E+02 4.37868580E-20
 1.54534020E+02 6.73692290E-20
 1.54535210E+02 6.63927950E-20
 1.55996320E+02 1.12074440E-19
 1.57486560E+02 1.89182830E-19
 1.57487800E+02 1.89240980E-19
 1.58750220E+02 2.92499080E-19
 1.60034310E+02 4.52131630E-19
 1.60035590E+02 4.52599010E-19
 1.60224390E+02 4.82227250E-19
 1.60225670E+02 4.70550260E-19
 1.62147230E+02 8.88547600E-19
 1.64116780E+02 1.67703660E-18
 1.64118130E+02 1.01452230E-19
 1.65325350E+02 1.48817230E-19
 1.66551860E+02 2.18317290E-19
 1.66553240E+02 2.18411180E-19
 1.68739650E+02 4.26184130E-19
 1.70985680E+02 8.31023380E-19
 1.70987140E+02 7.46207210E-19
 1.71113420E+02 7.74338410E-19
 1.71114880E+02 6.45341930E-19
 1.71458910E+02 7.13648400E-19
 1.71460380E+02 4.10883250E-19
 1.72433830E+02 5.45535660E-19
 1.72435320E+02 1.73114970E-19
 1.72510760E+02 1.77010060E-19
 1.72512240E+02 1.77077940E-19
 1.73777390E+02 2.56395640E-19
 1.75062760E+02 3.71304040E-19
 1.75064300E+02 3.71466730E-19
 1.77188030E+02 6.76477700E-19
 1.79365540E+02 1.23151760E-18
 1.79367150E+02 1.23147050E-18
 1.81856170E+02 2.39761700E-18
 1.84416950E+02 4.66511820E-18
 1.84418650E+02 4.66714930E-18
 1.85778830E+02 6.59426540E-18
 1.87160980E+02 9.31826670E-18
 1.87162730E+02 9.31955990E-18
 1.88738970E+02 1.37340910E-17
 1.88740750E+02 1.37400560E-17
 1.90123900E+02 1.92007020E-17
 1.90125710E+02 1.92090320E-17
 1.90853060E+02 2.28574810E-17
 1.90854880E+02 2.28672840E-17
 1.92241740E+02 3.17340990E-17
 1.92243590E+02 3.16565310E-17
 1.92420960E+02 3.29995520E-17
 1.92783400E+02 3.59135560E-17
 1.93146520E+02 3.90726450E-17
 1.93510330E+02 4.25129470E-17
 1.93566170E+02 4.30656040E-17
 1.93568040E+02 4.30842610E-17
 1.93874820E+02 4.62453460E-17
 1.94239990E+02 5.02144550E-17
 1.94605860E+02 5.46891420E-17
 1.94617540E+02 5.48351740E-17
 1.94619430E+02 5.47148060E-17
 1.94836520E+02 5.74900310E-17
 1.94838420E+02 5.75148720E-17
 1.94972410E+02 5.92943300E-17
 1.95339650E+02 6.44542680E-17
 1.95707590E+02 7.00513800E-17
 1.95961030E+02 6.69018690E-17
 1.96076220E+02 6.29929410E-17
 1.96445540E+02 8.26660240E-17
 1.96815560E+02 8.98094570E-17
 1.97098590E+02 9.56546720E-17
 1.97100530E+02 9.56960130E-17
 1.97186270E+02 9.75379020E-17
 1.97557690E+02 1.05918460E-16
 1.97929800E+02 1.14994490E-16
 1.98302610E+02 1.24706680E-16
 1.98676130E+02 1.35447480E-16
 1.98877180E+02 1.41527870E-16
 1.99050350E+02 1.46973050E-16
 1.99425280E+02 1.59401750E-16
 1.99800910E+02 1.72922660E-16
 2.00177240E+02 1.86051510E-16
 2.00554290E+02 2.03348390E-16
 2.00688160E+02 2.09265180E-16
 2.00690170E+02 2.09355440E-16
 2.00932050E+02 2.20474710E-16
 2.01310520E+02 2.37754760E-16
 2.01590960E+02 2.55834680E-16
 2.01592990E+02 2.55971720E-16
 2.01689700E+02 2.62595010E-16
 2.02069600E+02 2.79795460E-16
 2.02358650E+02 2.97948340E-16
 2.02360700E+02 2.98081380E-16
 2.02450210E+02 3.03964390E-16
 2.02518850E+02 3.08379120E-16
 2.02520900E+02 3.08511960E-16
 2.02831540E+02 3.29283630E-16
 2.03213580E+02 3.56624870E-16
 2.03596350E+02 3.86057690E-16
 2.03979840E+02 4.18053320E-16
 2.04364050E+02 4.52502850E-16
 2.04748980E+02 4.89724290E-16
 2.05134640E+02 5.29883320E-16
 2.05521020E+02 5.73224060E-16
 2.05908140E+02 6.20114890E-16
 2.06295980E+02 6.70674480E-16
 2.06508510E+02 6.99977130E-16
 2.06684550E+02 7.25148210E-16
 2.07073860E+02 7.83977290E-16
 2.07463890E+02 8.47142740E-16
 2.07854660E+02 9.15923690E-16
 2.08246170E+02 9.89836320E-16
 2.08638420E+02 1.06939690E-15
 2.09031400E+02 1.15521820E-15
 2.09425130E+02 1.24769870E-15
 2.09819590E+02 1.34725590E-15
 2.10214800E+02 1.45473290E-15
 2.10610760E+02 1.57040460E-15
 2.10658520E+02 1.58477770E-15
 2.11007460E+02 1.69289100E-15
 2.11404900E+02 1.82913650E-15
 2.11803100E+02 1.97358200E-15
 2.12202040E+02 2.12916010E-15
 2.12601740E+02 2.29635810E-15
 2.13002190E+02 2.47624280E-15
 2.13403400E+02 2.67036770E-15
 2.13805350E+02 2.87839710E-15
 2.14208070E+02 3.10325380E-15
 2.14611550E+02 3.34342060E-15
 2.14978750E+02 3.57914000E-15
 2.15015780E+02 3.60376310E-15
 2.15420780E+02 3.88267300E-15
 2.15826540E+02 4.18249000E-15
 2.16233060E+02 4.50460610E-15
 2.16640350E+02 4.85084390E-15
 2.17048410E+02 5.22286740E-15
 2.17206010E+02 5.37360580E-15
 2.17457230E+02 5.62241330E-15
 2.17866830E+02 6.05162910E-15
 2.18277200E+02 6.51249560E-15
 2.18688340E+02 7.00693380E-15
 2.19100250E+02 7.53857880E-15
 2.19479890E+02 8.05984710E-15
 2.19482300E+02 8.06305920E-15
 2.19512940E+02 8.10654780E-15
 2.19926410E+02 8.72045130E-15
 2.20340650E+02 9.37723480E-15
 2.20755680E+02 1.00818180E-14
 2.21171490E+02 1.08375660E-14
 2.21588080E+02 1.16480700E-14
 2.22005460E+02 1.25172130E-14
 2.22423620E+02 1.34472770E-14
 2.22502670E+02 1.36308420E-14
 2.22842570E+02 1.44480410E-14
 2.23262310E+02 1.55187600E-14
 2.23682840E+02 1.66661980E-14
 2.24104160E+02 1.78956760E-14
 2.24526270E+02 1.92128360E-14
 2.24949180E+02 2.06229370E-14
 2.25372890E+02 9.80315430E-14
 2.25609880E+02 5.59121420E-14
 2.25612420E+02 4.72894080E-14
 2.25797400E+02 1.44470680E-14
 2.25845330E+02 1.46597520E-14
 2.25847880E+02 1.46686900E-14
 2.26222700E+02 1.63567980E-14
 2.26648810E+02 1.75614140E-14
 2.26991880E+02 1.85920140E-14
 2.26994450E+02 1.85999660E-14
 2.27075710E+02 1.88524140E-14
 2.27503430E+02 2.02345010E-14
 2.27837820E+02 2.55401660E-14
 2.27840410E+02 1.99006870E-08
 2.27931940E+02 2.32783680E-08
 2.28361270E+02 9.12702240E-09
 2.28791400E+02 6.27659560E-09
 2.29222350E+02 4.71470190E-09
 2.29654100E+02 1.81006090E-10
 2.30086670E+02 4.75631120E-11
 2.30520060E+02 1.85564580E-11
 2.30721440E+02 2.91305850E-10
 2.30954260E+02 6.15225340E-10
 2.31389270E+02 2.82619490E-11
 2.31825110E+02 4.39649660E-09
 2.32261770E+02 2.25348450E-08
 2.32699250E+02 3.39875850E-08
 2.33137550E+02 4.67605710E-10
 2.33576680E+02 4.69586750E-09
 2.33678980E+02 7.11818320E-09
 2.33681710E+02 7.18324610E-09
 2.34016640E+02 1.53288110E-08
