 WMBASIC, Moont, Westmoquette 2004 (Pauldrach 2003) after SNC 2002
 Z/Z0 1.00 Teff 28.10 logg 3.08 R/R0 27.77 R 1.9314E+12
   Wavelength   Eddington Hnu
 (Angstroms) (erg/s/cm2/Hz/sr)
 5.00000000E+01 4.35973040E-62
 6.24448220E+01 3.76789640E-57
 8.31374340E+01 1.94793360E-52
 9.35000000E+01 5.49141590E-50
 9.77000000E+01 2.94544590E-48
 1.02000000E+02 5.22023050E-46
 1.05600000E+02 3.68347600E-44
 1.10400000E+02 7.10449790E-42
 1.14000000E+02 2.72543050E-40
 1.17800000E+02 9.95346950E-39
 1.21300000E+02 2.22133770E-37
 1.24340780E+02 2.84222470E-36
 1.25103210E+02 5.27665400E-36
 1.25875050E+02 9.79221450E-36
 1.26264560E+02 1.33374950E-35
 1.26656480E+02 1.81644370E-35
 1.26657280E+02 1.81758860E-35
 1.27447660E+02 3.36804730E-35
 1.27448480E+02 3.37016870E-35
 1.29343070E+02 1.43118410E-34
 1.31295690E+02 6.06637770E-34
 1.33308180E+02 2.56466620E-33
 1.34337740E+02 5.26794090E-33
 1.35383330E+02 1.08130550E-32
 1.35384240E+02 1.08198160E-32
 1.37200850E+02 3.67100080E-32
 1.39067840E+02 1.24362770E-31
 1.39068810E+02 1.24440270E-31
 1.40058470E+02 2.34285120E-31
 1.41063320E+02 4.41096050E-31
 1.41064320E+02 4.41370370E-31
 1.44205920E+02 3.00274590E-30
 1.47491730E+02 2.03168670E-29
 1.50930770E+02 1.36582960E-28
 1.52711150E+02 3.53239410E-28
 1.54534020E+02 9.11978450E-28
 1.54535210E+02 9.10844310E-28
 1.57236080E+02 3.55478800E-27
 1.60034310E+02 1.38284980E-26
 1.60035590E+02 1.38370610E-26
 1.60224390E+02 1.51372090E-26
 1.60225670E+02 1.51464430E-26
 1.62147230E+02 3.72964200E-26
 1.64116780E+02 9.17287600E-26
 1.64118130E+02 2.02713890E-27
 1.65325350E+02 3.48365840E-27
 1.66551860E+02 5.98661500E-27
 1.66553240E+02 5.99025260E-27
 1.68739650E+02 1.53986430E-26
 1.70985680E+02 3.95311990E-26
 1.70987140E+02 3.49499610E-26
 1.71113420E+02 3.68237970E-26
 1.71114880E+02 2.98607390E-26
 1.71458910E+02 3.44144190E-26
 1.71460380E+02 1.81081360E-26
 1.72433830E+02 2.69924090E-26
 1.72435320E+02 7.07539170E-27
 1.75831390E+02 2.79647830E-26
 1.79365540E+02 1.10335620E-25
 1.79367150E+02 1.10403090E-25
 1.80916590E+02 1.98003300E-25
 1.80918230E+02 1.98124410E-25
 1.83985820E+02 6.11050000E-25
 1.87160980E+02 1.88291720E-24
 1.87162730E+02 1.88308830E-24
 1.88738970E+02 3.24462700E-24
 1.88740750E+02 3.24660530E-24
 1.89790130E+02 4.63964810E-24
 1.90853060E+02 6.63351970E-24
 1.90854880E+02 6.63754610E-24
 1.92241740E+02 1.05173470E-23
 1.92243590E+02 1.05215010E-23
 1.93566170E+02 1.62162850E-23
 1.93568040E+02 1.62261540E-23
 1.94617540E+02 2.27728660E-23
 1.94619430E+02 2.25291570E-23
 1.94836520E+02 2.41544760E-23
 1.94838420E+02 2.41691750E-23
 1.97884440E+02 6.31717950E-23
 2.01029230E+02 1.65066010E-22
 2.01031250E+02 1.65166270E-22
 2.01590960E+02 1.95325100E-22
 2.01592990E+02 1.95443730E-22
 2.02358650E+02 2.45464170E-22
 2.02360700E+02 2.45613210E-22
 2.02518850E+02 2.57393260E-22
 2.02520900E+02 2.57549540E-22
 2.06041210E+02 7.16861430E-22
