 OPTXAGNF AGN Spectrum Model Parameters: BLS, Astar 0.0                          
 M_BH:  1.0000E+08 M_0            L  :  1.0000E-02 L/Ledd 
 D   :  1.5000E+18 cm             z  :   0.000     redshift 
 Rcor:   60.00     Rg             Ro :   4.000     Rg 
 C_T :  0.2000     keV            Tau:   15.00     Optical Depth 
 gam :   1.800     (-slope)       fpl:  0.5000     Fraction 
 E              0.5DeltaE      E.FE total     E.FE Disk      E.FE Compton   E.FE NonThermal
 (keV)          (keV)          E.E/cm2/s/E    E.E/cm2/s/E    E.E/cm2/s/E    E.E/cm2/s/E    
 1.00334952E-06 3.34952256E-09  23367710.      23366100.      15.946679      1593.9941    
 1.01007101E-06 3.37196116E-09  23829784.      23828142.      16.365582      1626.4875    
 1.01683752E-06 3.39455008E-09  24311251.      24309574.      16.809743      1660.2718    
 1.02364936E-06 3.41729032E-09  24805961.      24804249.      17.270983      1694.5056    
 1.03050683E-06 3.44018290E-09  25296366.      25294620.      17.724501      1728.0081    
 1.03741024E-06 3.46322884E-09  25818453.      25816671.      18.221277      1763.1774    
 1.04435990E-06 3.48642917E-09  26332592.      26330776.      18.705182      1797.4484    
 1.05135611E-06 3.50978492E-09  26860824.      26858972.      19.207429      1833.3043    
 1.05839920E-06 3.53329712E-09  27411154.      27409262.      19.739976      1872.1416    
 1.06548946E-06 3.55696684E-09  27953032.      27951101.      20.258388      1910.0775    
 1.07262722E-06 3.58079512E-09  28525901.      28523930.      20.820299      1949.7189    
 1.07981280E-06 3.60478303E-09  29097934.      29095924.      21.379221      1988.7380    
 1.08704652E-06 3.62893164E-09  29677442.      29675392.      21.947093      2027.7996    
 1.09432869E-06 3.65324201E-09  30289598.      30287507.      22.561898      2068.5449    
 1.10165965E-06 3.67771524E-09  30888340.      30886207.      23.154489      2109.4589    
 1.10903971E-06 3.70235243E-09  31516895.      31514718.      23.790014      2153.8710    
 1.11646922E-06 3.72715465E-09  32153295.      32151072.      24.435502      2198.4190    
 1.12394850E-06 3.75212303E-09  32789021.      32786754.      25.077506      2242.3566    
 1.13147788E-06 3.77725867E-09  33469906.      33467592.      25.787194      2288.7802    
 1.13905770E-06 3.80256270E-09  34131469.      34129109.      26.464577      2333.3049    
 1.14668830E-06 3.82803623E-09  34821081.      34818675.      27.183289      2379.2426    
 1.15437002E-06 3.85368042E-09  35529036.      35526581.      27.928659      2427.9154    
 1.16210319E-06 3.87949640E-09  36231141.      36228635.      28.662015      2477.5242    
 1.16988818E-06 3.90548532E-09  36978894.      36976334.      29.465848      2529.9102    
 1.17772531E-06 3.93164835E-09  37714637.      37712026.      30.247824      2580.6767    
 1.18561494E-06 3.95798663E-09  38471199.      38468535.      31.060530      2632.2597    
 1.19355743E-06 3.98450137E-09  39258698.      39255981.      31.921135      2685.1757    
 1.20155313E-06 4.01119372E-09  40034446.      40031676.      32.759424      2736.9071    
 1.20960239E-06 4.03806489E-09  40854887.      40852060.      33.668654      2793.5952    
 1.21770557E-06 4.06511607E-09  41673426.      41670540.      34.571859      2851.5438    
 1.22586303E-06 4.09234846E-09  42503389.      42500444.      35.490757      2909.5829    
 1.23407514E-06 4.11976329E-09  43379310.      43376303.      36.484296      2970.0398    
 1.24234227E-06 4.14736177E-09  44236415.      44233349.      37.442531      3028.4059    
 1.25066478E-06 4.17514513E-09  45136559.      45133432.      38.470878      3088.8965    
 1.25904304E-06 4.20311462E-09  46047138.      46043949.      39.513975      3149.6647    
 1.26747742E-06 4.23127147E-09  46957568.      46954314.      40.552833      3212.9097    
 1.27596831E-06 4.25961695E-09  47931768.      47928444.      41.699708      3281.9995    
 1.28451608E-06 4.28815232E-09  48878746.      48875355.      42.795048      3348.0884    
 1.29312111E-06 4.31687884E-09  49866282.      49862822.      43.958004      3416.2224    
 1.30178379E-06 4.34579781E-09  50879180.      50875650.      45.162513      3485.1232    
 1.31050450E-06 4.37491051E-09  51884148.      51880549.      46.348359      3552.6914    
 1.31928362E-06 4.40421823E-09  52954863.      52951191.      47.649021      3624.2704    
 1.32812156E-06 4.43372228E-09  54007491.      54003744.      48.912654      3697.9521    
 1.33701871E-06 4.46342399E-09  55090840.      55087015.      50.227705      3774.5689    
 1.34597546E-06 4.49332467E-09  56217472.      56213567.      51.618436      3853.2739    
 1.35499221E-06 4.52342565E-09  57327784.      57323801.      52.973955      3929.7834    
 1.36406936E-06 4.55372829E-09  58502517.      58498453.      54.445160      4009.6784    
 1.37320733E-06 4.58423392E-09  59673515.      59669370.      55.904697      4088.2572    
 1.38240650E-06 4.61494391E-09  60861895.      60857670.      57.391583      4168.0935    
 1.39166731E-06 4.64585962E-09  62114935.      62110620.      58.997138      4256.1823    
 1.40099015E-06 4.67698245E-09  63341610.      63337207.      60.546603      4342.7888    
 1.41037545E-06 4.70831376E-09  64630394.      64625899.      62.210552      4432.8048    
 1.41982361E-06 4.73985497E-09  65932976.      65928390.      63.896153      4522.4875    
 1.42933508E-06 4.77160747E-09  67236498.      67231822.      65.577152      4611.1727    
 1.43891026E-06 4.80357269E-09  68630020.      68625248.      67.430501      4704.5316    
 1.44854958E-06 4.83575204E-09  69985219.      69980353.      69.201659      4796.1991    
 1.45825348E-06 4.86814696E-09  71399038.      71394071.      71.083418      4895.7077    
 1.46802239E-06 4.90075889E-09  72847880.      72842809.      73.029857      4998.1320    
 1.47785673E-06 4.93358930E-09  74286013.      74280839.      74.947357      5098.4235    
 1.48775696E-06 4.96663964E-09  75818801.      75813520.      77.051890      5203.9714    
 1.49772351E-06 4.99991138E-09  77324419.      77319034.      79.093819      5306.2347    
 1.50775683E-06 5.03340601E-09  78875305.      78869814.      81.221686      5410.2826    
 1.51785736E-06 5.06712502E-09  80486697.      80481094.      83.469058      5519.6968    
 1.52802556E-06 5.10106992E-09  82075462.      82069744.      85.660904      5631.8274    
 1.53826187E-06 5.13524222E-09  83757051.      83751212.      88.041388      5750.7799    
 1.54856676E-06 5.16964344E-09  85431853.      85425895.      90.399888      5867.4703    
 1.55894067E-06 5.20427512E-09  87132998.      87126921.      92.805803      5984.5797    
 1.56938409E-06 5.23913879E-09  88925042.      88918841.      95.400329      6106.1887    
 1.57989746E-06 5.27423602E-09  90680170.      90673848.      97.905769      6224.0330    
 1.59048127E-06 5.30956836E-09  92524885.      92518435.      100.59813      6349.6988    
 1.60113597E-06 5.34513740E-09  94387731.      94381146.      103.32193      6481.8030    
 1.61186206E-06 5.38094472E-09  96253577.      96246857.      106.04195      6613.5085    
 1.62265999E-06 5.41699191E-09  98246375.      98239513.      109.03690      6752.4922    
 1.63353026E-06 5.45328058E-09 1.00185250E+08 1.00178253E+08  111.90080      6885.7726    
 1.64447336E-06 5.48981235E-09 1.02208796E+08 1.02201658E+08  114.94559      7023.1610    
 1.65548976E-06 5.52658885E-09 1.04280621E+08 1.04273341E+08  118.09090      7162.1579    
 1.66657996E-06 5.56361172E-09 1.06338048E+08 1.06330624E+08  121.19141      7302.9897    
 1.67774445E-06 5.60088261E-09 1.08531696E+08 1.08524112E+08  124.59658      7459.1694    
 1.68898374E-06 5.63840317E-09 1.10684652E+08 1.10676913E+08  127.89612      7610.9437    
 1.70029832E-06 5.67617509E-09 1.12904230E+08 1.12896333E+08  131.33912      7765.6235    
 1.71168869E-06 5.71420004E-09 1.15208305E+08 1.15200246E+08  134.97073      7923.9767    
 1.72315537E-06 5.75247973E-09 1.17481038E+08 1.17472821E+08  138.51483      8078.2681    
 1.73469887E-06 5.79101585E-09 1.19887450E+08 1.19879068E+08  142.36649      8239.6493    
 1.74631969E-06 5.82981012E-09 1.22282107E+08 1.22273556E+08  146.17758      8404.8633    
 1.75801837E-06 5.86886429E-09 1.24716553E+08 1.24707824E+08  150.07049      8578.1569    
 1.76979541E-06 5.90818007E-09 1.27278706E+08 1.27269792E+08  154.26307      8759.1011    
 1.78165135E-06 5.94775924E-09 1.29789218E+08 1.29780126E+08  158.31422      8933.8054    
 1.79358672E-06 5.98760354E-09 1.32428879E+08 1.32419601E+08  162.67050      9115.2595    
 1.80560203E-06 6.02771477E-09 1.35092150E+08 1.35082687E+08  167.07189      9295.8057    
 1.81769784E-06 6.06809470E-09 1.37762075E+08 1.37752429E+08  171.47303      9475.0184    
 1.82987468E-06 6.10874514E-09 1.40610973E+08 1.40601124E+08  176.31269      9672.7482    
 1.84213310E-06 6.14966790E-09 1.43384070E+08 1.43374018E+08  180.94341      9870.5073    
 1.85447363E-06 6.19086481E-09 1.46279404E+08 1.46269143E+08  185.86994      10074.858    
