 OPTXAGNF AGN Spectrum Model Parameters: BLS, Astar 0.0                          
 M_BH:  1.0000E+08 M_0            L  :  0.2000     L/Ledd 
 D   :  1.5000E+18 cm             z  :   0.000     redshift 
 Rcor:   60.00     Rg             Ro :   4.000     Rg 
 C_T :  0.2000     keV            Tau:   15.00     Optical Depth 
 gam :   1.800     (-slope)       fpl:  0.5000     Fraction 
 E              0.5DeltaE      E.FE total     E.FE Disk      E.FE Compton   E.FE NonThermal
 (keV)          (keV)          E.E/cm2/s/E    E.E/cm2/s/E    E.E/cm2/s/E    E.E/cm2/s/E    
 1.00334952E-06 3.34952256E-09  49669871.      49666526.      12.773592      3331.9058    
 1.01007101E-06 3.37196116E-09  50653692.      50650280.      13.109173      3398.7020    
 1.01683752E-06 3.39455008E-09  51678923.      51675442.      13.464990      3467.4926    
 1.02364936E-06 3.41729032E-09  52732432.      52728881.      13.834492      3537.1744    
 1.03050683E-06 3.44018290E-09  53776715.      53773095.      14.197806      3606.0854    
 1.03741024E-06 3.46322884E-09  54888687.      54884990.      14.595779      3682.4330    
 1.04435990E-06 3.48642917E-09  55983651.      55979877.      14.983439      3758.6714    
 1.05135611E-06 3.50978492E-09  57108706.      57104854.      15.385796      3836.1041    
 1.05839920E-06 3.53329712E-09  58280968.      58277036.      15.812429      3915.7053    
 1.06548946E-06 3.55696684E-09  59435132.      59431122.      16.227737      3993.0444    
 1.07262722E-06 3.58079512E-09  60655524.      60651434.      16.677898      4073.7084    
 1.07981280E-06 3.60478303E-09  61874103.      61869932.      17.125663      4154.3581    
 1.08704652E-06 3.62893164E-09  63108636.      63104379.      17.580600      4239.3298    
 1.09432869E-06 3.65324201E-09  64412959.      64408611.      18.073140      4330.3198    
 1.10165965E-06 3.67771524E-09  65688557.      65684121.      18.547883      4417.9030    
 1.10903971E-06 3.70235243E-09  67027882.      67023354.      19.057025      4508.7947    
 1.11646922E-06 3.72715465E-09  68383951.      68379332.      19.574150      4599.5198    
 1.12394850E-06 3.75212303E-09  69738543.      69733834.      20.088485      4689.1013    
