 OPTXAGNF AGN Spectrum Model Parameters: NLS, Astar 0.0                          
 M_BH:  1.0000E+08 M_0            L  :   1.000     L/Ledd 
 D   :  1.5000E+18 cm             z  :   0.000     redshift 
 Rcor:   40.00     Rg             Ro :   4.000     Rg 
 C_T :  0.2000     keV            Tau:   15.00     Optical Depth 
 gam :   2.200     (-slope)       fpl:  0.2000     Fraction 
 E              0.5DeltaE      E.FE total     E.FE Disk      E.FE Compton   E.FE NonThermal
 (keV)          (keV)          E.E/cm2/s/E    E.E/cm2/s/E    E.E/cm2/s/E    E.E/cm2/s/E    
 1.00334952E-06 3.34952256E-09  74939951.      74939250.     0.73654493      700.29560    
 1.01007101E-06 3.37196116E-09  76425039.      76424321.     0.75589608      716.58725    
 1.01683752E-06 3.39455008E-09  77972694.      77971957.     0.77641423      736.82312    
 1.02364936E-06 3.41729032E-09  79563073.      79562315.     0.79772150      757.39869    
 1.03050683E-06 3.44018290E-09  81139498.      81138720.     0.81867202      777.24476    
 1.03741024E-06 3.46322884E-09  82818199.      82817400.     0.84162121      798.52962    
 1.04435990E-06 3.48642917E-09  84471184.      84470364.     0.86397572      818.87217    
 1.05135611E-06 3.50978492E-09  86169632.      86168791.     0.88717775      839.98809    
 1.05839920E-06 3.53329712E-09  87939416.      87938551.     0.91177975      863.25526    
 1.06548946E-06 3.55696684E-09  89681835.      89680948.     0.93572872      885.70767    
 1.07262722E-06 3.58079512E-09  91524339.      91523428.     0.96168754      909.54559    
 1.07981280E-06 3.60478303E-09  93364088.      93363154.     0.98750828      932.78710    
 1.08704652E-06 3.62893164E-09  95227931.      95226974.      1.0137426      955.98841    
 1.09432869E-06 3.65324201E-09  97197243.      97196262.      1.0421455      980.48031    
 1.10165965E-06 3.67771524E-09  99123125.      99122120.      1.0695220      1004.3905    
 1.10903971E-06 3.70235243E-09 1.01145319E+08 1.01144287E+08  1.0988824      1030.8782    
 1.11646922E-06 3.72715465E-09 1.03192812E+08 1.03191754E+08  1.1287031      1057.4445    
 1.12394850E-06 3.75212303E-09 1.05238054E+08 1.05236970E+08  1.1583629      1083.4397    
 1.13147788E-06 3.77725867E-09 1.07429267E+08 1.07428155E+08  1.1911502      1111.4132    
 1.13905770E-06 3.80256270E-09 1.09557919E+08 1.09556780E+08  1.2224448      1137.7524    
 1.14668830E-06 3.82803623E-09 1.11777219E+08 1.11776053E+08  1.2556491      1165.0808    
 1.15437002E-06 3.85368042E-09 1.14055777E+08 1.14054582E+08  1.2900853      1193.8182    
 1.16210319E-06 3.87949640E-09 1.16315320E+08 1.16314096E+08  1.3239664      1223.0350    
 1.16988818E-06 3.90548532E-09 1.18722479E+08 1.18721223E+08  1.3611042      1254.4502    
 1.17772531E-06 3.93164835E-09 1.21090699E+08 1.21089413E+08  1.3972320      1284.5301    
 1.18561494E-06 3.95798663E-09 1.23526201E+08 1.23524885E+08  1.4347799      1315.1812    
 1.19355743E-06 3.98450137E-09 1.26061752E+08 1.26060404E+08  1.4745412      1346.8271    
 1.20155313E-06 4.01119372E-09 1.28559173E+08 1.28557794E+08  1.5132713      1377.3498    
 1.20960239E-06 4.03806489E-09 1.31201177E+08 1.31199765E+08  1.5552797      1410.8249    
 1.21770557E-06 4.06511607E-09 1.33836928E+08 1.33835482E+08  1.5970098      1445.0737    
 1.22586303E-06 4.09234846E-09 1.36509564E+08 1.36508083E+08  1.6394650      1479.4507    
 1.23407514E-06 4.11976329E-09 1.39330930E+08 1.39329413E+08  1.6853696      1515.6054    
 1.24234227E-06 4.14736177E-09 1.42091259E+08 1.42089707E+08  1.7296427      1550.0969    
 1.25066478E-06 4.17514513E-09 1.44990881E+08 1.44989293E+08  1.7771559      1586.1454    
 1.25904304E-06 4.20311462E-09 1.47924205E+08 1.47922581E+08  1.8253509      1622.1862    
 1.26747742E-06 4.23127147E-09 1.50856913E+08 1.50855252E+08  1.8733500      1659.0865    
 1.27596831E-06 4.25961695E-09 1.53996132E+08 1.53994430E+08  1.9263409      1700.2608    
 1.28451608E-06 4.28815232E-09 1.57047028E+08 1.57045287E+08  1.9769503      1739.2976    
 1.29312111E-06 4.31687884E-09 1.60229236E+08 1.60227454E+08  2.0306845      1779.7719    
 1.30178379E-06 4.34579781E-09 1.63493535E+08 1.63491712E+08  2.0863391      1820.7524    
 1.31050450E-06 4.37491051E-09 1.66731991E+08 1.66730128E+08  2.1411313      1860.6683    
 1.31928362E-06 4.40421823E-09 1.70183469E+08 1.70181563E+08  2.2012298      1903.2361    
 1.32812156E-06 4.43372228E-09 1.73576164E+08 1.73574216E+08  2.2596171      1946.2653    
 1.33701871E-06 4.46342399E-09 1.77068327E+08 1.77066333E+08  2.3203807      1991.5771    
 1.34597546E-06 4.49332467E-09 1.80700729E+08 1.80698689E+08  2.3846420      2038.4005    
 1.35499221E-06 4.52342565E-09 1.84280050E+08 1.84277964E+08  2.4472761      2083.5801    
 1.36406936E-06 4.55372829E-09 1.88068198E+08 1.88066064E+08  2.5152568      2131.1318    
 1.37320733E-06 4.58423392E-09 1.91844082E+08 1.91841901E+08  2.5826984      2177.6678    
 1.38240650E-06 4.61494391E-09 1.95676194E+08 1.95673966E+08  2.6514041      2224.6364    
 1.39166731E-06 4.64585962E-09 1.99717969E+08 1.99715690E+08  2.7255945      2276.4330    
 1.40099015E-06 4.67698245E-09 2.03674007E+08 2.03671677E+08  2.7971926      2327.5394    
 1.41037545E-06 4.70831376E-09 2.07831466E+08 2.07829082E+08  2.8740820      2380.9787    
 1.41982361E-06 4.73985497E-09 2.12033560E+08 2.12031123E+08  2.9519723      2434.1241    
 1.42933508E-06 4.77160747E-09 2.16238506E+08 2.16236016E+08  3.0296501      2486.4946    
 1.43891026E-06 4.80357269E-09 2.20735524E+08 2.20732979E+08  3.1152939      2542.0993    
 1.44854958E-06 4.83575204E-09 2.25107897E+08 2.25105298E+08  3.1971389      2595.7565    
 1.45825348E-06 4.86814696E-09 2.29670445E+08 2.29667788E+08  3.2840961      2654.1340    
 1.46802239E-06 4.90075889E-09 2.34346574E+08 2.34343855E+08  3.3740431      2714.8544    
 1.47785673E-06 4.93358930E-09 2.38987689E+08 2.38984911E+08  3.4626525      2774.0467    
 1.48775696E-06 4.96663964E-09 2.43936163E+08 2.43933323E+08  3.5599070      2836.7850    
 1.49772351E-06 4.99991138E-09 2.48796136E+08 2.48793235E+08  3.6542680      2897.1996    
 1.50775683E-06 5.03340601E-09 2.53802994E+08 2.53800031E+08  3.7526014      2958.7711    
 1.51785736E-06 5.06712502E-09 2.59006311E+08 2.59003284E+08  3.8564589      3022.9573    
 1.52802556E-06 5.10106992E-09 2.64135809E+08 2.64132717E+08  3.9577499      3088.6604    
 1.53826187E-06 5.13524222E-09 2.69566876E+08 2.69563712E+08  4.0677605      3159.2235    
 1.54856676E-06 5.16964344E-09 2.74975640E+08 2.74972407E+08  4.1767552      3228.2070    
 1.55894067E-06 5.20427512E-09 2.80469802E+08 2.80466501E+08  4.2879418      3297.4015    
 1.56938409E-06 5.23913879E-09 2.86259401E+08 2.86256027E+08  4.4078471      3369.5743    
 1.57989746E-06 5.27423602E-09 2.91928631E+08 2.91925187E+08  4.5236347      3439.0518    
 1.59048127E-06 5.30956836E-09 2.97889057E+08 2.97885540E+08  4.6480626      3512.5618    
 1.60113597E-06 5.34513740E-09 3.03908204E+08 3.03904609E+08  4.7739448      3590.3352    
 1.61186206E-06 5.38094472E-09 3.09936792E+08 3.09933119E+08  4.8996516      3668.0583    
 1.62265999E-06 5.41699191E-09 3.16378349E+08 3.16374593E+08  5.0380687      3750.5378    
 1.63353026E-06 5.45328058E-09 3.22644060E+08 3.22640226E+08  5.1704273      3829.1739    
 1.64447336E-06 5.48981235E-09 3.29185123E+08 3.29181207E+08  5.3111484      3910.4672    
 1.65548976E-06 5.52658885E-09 3.35883113E+08 3.35879115E+08  5.4565168      3992.5540    
 1.66657996E-06 5.56361172E-09 3.42533834E+08 3.42529753E+08  5.5998146      4074.6069    
 1.67774445E-06 5.60088261E-09 3.49627954E+08 3.49623781E+08  5.7571966      4166.8352    
 1.68898374E-06 5.63840317E-09 3.56589166E+08 3.56584903E+08  5.9096953      4256.4211    
 1.70029832E-06 5.67617509E-09 3.63767069E+08 3.63762715E+08  6.0688271      4347.8329    
 1.71168869E-06 5.71420004E-09 3.71220011E+08 3.71215563E+08  6.2366783      4441.5856    
 1.72315537E-06 5.75247973E-09 3.78570393E+08 3.78565854E+08  6.4004844      4532.6093    
 1.73469887E-06 5.79101585E-09 3.86356182E+08 3.86351547E+08  6.5785100      4627.9679    
 1.74631969E-06 5.82981012E-09 3.94103251E+08 3.94098520E+08  6.7546597      4724.4467    
 1.75801837E-06 5.86886429E-09 4.01979596E+08 4.01974763E+08  6.9345927      4826.2748    
 1.76979541E-06 5.90818007E-09 4.10272075E+08 4.10267135E+08  7.1283811      4933.4118    
 1.78165135E-06 5.94775924E-09 4.18395661E+08 4.18390617E+08  7.3156307      5036.4647    
 1.79358672E-06 5.98760354E-09 4.26940142E+08 4.26934990E+08  7.5169882      5143.8060    
 1.80560203E-06 6.02771477E-09 4.35561239E+08 4.35555980E+08  7.7204317      5250.4984    
 1.81769784E-06 6.06809470E-09 4.44203532E+08 4.44198168E+08  7.9238640      5356.0985    
 1.82987468E-06 6.10874514E-09 4.53429551E+08 4.53424071E+08  8.1475721      5471.7905    
 1.84213310E-06 6.14966790E-09 4.62407600E+08 4.62402003E+08  8.3616200      5587.9061    
 1.85447363E-06 6.19086481E-09 4.71784233E+08 4.71778515E+08  8.5893454      5708.6729    
 1.86689683E-06 6.23233769E-09 4.81377363E+08 4.81371523E+08  8.8242830      5830.5133    
 1.87940326E-06 6.27408840E-09 4.90906924E+08 4.90900965E+08  9.0560213      5949.8053    
 1.89199346E-06 6.31611880E-09 5.01075998E+08 5.01069913E+08  9.3107038      6075.6734    
 1.90466801E-06 6.35843077E-09 5.11045931E+08 5.11039724E+08  9.5571590      6197.6043    
 1.91742747E-06 6.40102618E-09 5.21335230E+08 5.21328893E+08  9.8146793      6326.8120    
 1.93027240E-06 6.44390694E-09 5.32009319E+08 5.32002844E+08  10.085954      6465.4110    
 1.94320339E-06 6.48707497E-09 5.42541091E+08 5.42534481E+08  10.350858      6600.4739    
 1.95622099E-06 6.53053217E-09 5.53701377E+08 5.53694625E+08  10.638948      6742.2342    
 1.96932581E-06 6.57428050E-09 5.64796504E+08 5.64789613E+08  10.923628      6880.9417    
 1.98251841E-06 6.61832191E-09 5.76086720E+08 5.76079689E+08  11.214813      7020.3890    
 1.99579939E-06 6.66265834E-09 5.87962819E+08 5.87955642E+08  11.528008      7165.8105    
 2.00916934E-06 6.70729179E-09 5.99602092E+08 5.99594768E+08  11.830824      7312.7100    
 2.02262885E-06 6.75222424E-09 6.11849591E+08 6.11842107E+08  12.156673      7471.6946    
 2.03617854E-06 6.79745770E-09 6.24196099E+08 6.24188456E+08  12.485465      7630.0696    
 2.04981899E-06 6.84299417E-09 6.36583956E+08 6.36576156E+08  12.814680      7786.8603    
 2.06355082E-06 6.88883570E-09 6.49796616E+08 6.49788651E+08  13.176234      7952.1633    
 2.07737464E-06 6.93498432E-09 6.62659731E+08 6.62651607E+08  13.522387      8110.6751    
