 OPTXAGNF AGN Spectrum Model Parameters: NLS, Astar 0.0                          
 M_BH:  3.0000E+07 M_0            L  :  2.0000E-02 L/Ledd 
 D   :  1.5000E+18 cm             z  :   0.000     redshift 
 Rcor:   40.00     Rg             Ro :   4.000     Rg 
 C_T :  0.2000     keV            Tau:   15.00     Optical Depth 
 gam :   2.200     (-slope)       fpl:  0.2000     Fraction 
 E              0.5DeltaE      E.FE total     E.FE Disk      E.FE Compton   E.FE NonThermal
 (keV)          (keV)          E.E/cm2/s/E    E.E/cm2/s/E    E.E/cm2/s/E    E.E/cm2/s/E    
 1.00334952E-06 3.34952256E-09  3421344.6      3421130.2     0.55247272      213.81536    
 1.01007101E-06 3.37196116E-09  3489079.5      3488861.0     0.56698697      217.96056    
 1.01683752E-06 3.39455008E-09  3559663.3      3559440.4     0.58237647      222.36428    
 1.02364936E-06 3.41729032E-09  3632192.7      3631965.0     0.59835780      227.06159    
 1.03050683E-06 3.44018290E-09  3704088.0      3703855.7     0.61407157      231.68200    
 1.03741024E-06 3.46322884E-09  3780638.9      3780401.7     0.63128432      236.54444    
 1.04435990E-06 3.48642917E-09  3856020.4      3855778.5     0.64805106      241.26297    
 1.05135611E-06 3.50978492E-09  3933471.9      3933225.2     0.66545343      246.05265    
 1.05839920E-06 3.53329712E-09  4014170.5      4013918.8     0.68390576      250.98566    
 1.06548946E-06 3.55696684E-09  4093625.2      4093368.5     0.70186831      255.96985    
 1.07262722E-06 3.58079512E-09  4177635.1      4177373.0     0.72133822      261.41952    
 1.07981280E-06 3.60478303E-09  4261520.9      4261253.3     0.74070456      266.80515    
 1.08704652E-06 3.62893164E-09  4346504.1      4346231.1     0.76038107      272.19466    
 1.09432869E-06 3.65324201E-09  4436286.7      4436008.1     0.78168397      277.81100    
 1.10165965E-06 3.67771524E-09  4524094.8      4523810.8     0.80221711      283.23390    
 1.10903971E-06 3.70235243E-09  4616285.5      4615995.8     0.82423806      288.87053    
 1.11646922E-06 3.72715465E-09  4709628.5      4709332.9     0.84660428      294.76377    
 1.12394850E-06 3.75212303E-09  4802870.8      4802569.1     0.86884980      300.80597    
 1.13147788E-06 3.77725867E-09  4902753.9      4902445.8     0.89344084      307.22616    
 1.13905770E-06 3.80256270E-09  4999792.9      4999478.6     0.91691240      313.36670    
 1.14668830E-06 3.82803623E-09  5100956.2      5100635.6     0.94181620      319.69239    
 1.15437002E-06 3.85368042E-09  5204815.8      5204488.8     0.96764384      326.09427    
 1.16210319E-06 3.87949640E-09  5307812.4      5307479.0     0.99305515      332.39791    
 1.16988818E-06 3.90548532E-09  5417523.5      5417183.1      1.0209088      339.35749    
 1.17772531E-06 3.93164835E-09  5525465.7      5525118.3      1.0480051      346.36148    
 1.18561494E-06 3.95798663E-09  5636469.2      5636114.6      1.0761664      353.48158    
 1.19355743E-06 3.98450137E-09  5752023.2      5751661.3      1.1059876      360.79369    
 1.20155313E-06 4.01119372E-09  5865845.5      5865476.4      1.1350354      367.90253    
 1.20960239E-06 4.03806489E-09  5986242.7      5985866.3      1.1665418      375.31861    
 1.21770557E-06 4.06511607E-09  6106357.5      6105973.6      1.1978394      382.67464    
 1.22586303E-06 4.09234846E-09  6228151.5      6227759.8      1.2296809      390.43652    
 1.23407514E-06 4.11976329E-09  6356708.5      6356308.4      1.2641092      398.79377    
 1.24234227E-06 4.14736177E-09  6482492.9      6482084.8      1.2973139      406.84334    
 1.25066478E-06 4.17514513E-09  6614610.9      6614194.3      1.3329486      415.19955    
 1.25904304E-06 4.20311462E-09  6748262.5      6747837.6      1.3690945      423.53342    
 1.26747742E-06 4.23127147E-09  6881888.5      6881455.3      1.4050934      431.77007    
 1.27596831E-06 4.25961695E-09  7024901.6      7024459.6      1.4448360      440.52907    
 1.28451608E-06 4.28815232E-09  7163903.8      7163452.8      1.4827925      449.45718    
 1.29312111E-06 4.31687884E-09  7308875.7      7308415.3      1.5230924      458.86117    
 1.30178379E-06 4.34579781E-09  7457580.0      7457110.0      1.5648325      468.37821    
