 menzel.local
 145.791u 0.208s 2:26.09 99.9%
 MV 5.2 Shock Test 01: 50km/s
 Quantity      ,   MVS5,   Model,  Diff%
 HBeta e6 4861 ,  1.060,   1.060,    0.0
 Lya      1215 ,  92.13,   92.13,    0.0
 HeI      5876 , 0.0030,  0.0030,    0.0
 CII      2326 ,  0.235,   0.235,    0.0
 CIII     1909 , 0.0042,  0.0042,    0.0
 NI       5200 ,  0.188,   0.188,    0.0
 NII      5755 , 0.0018,  0.0018,    0.0
 NII      6548 ,  0.045,   0.045,    0.0
 NII      6584 ,  0.133,   0.133,    0.0
 OI       6300 ,  0.347,   0.347,    0.0
 OII      3727 ,  0.338,   0.338,    0.0
 OII      7319 , 0.0037,  0.0037,   -0.0
 OII      7330 , 0.0030,  0.0030,    0.0
 NeII   12.81m ,  0.011,   0.011,    0.0
 MgII     2798 ,  1.298,   1.298,    0.0
 SiIII    1892 , 0.0016,  0.0016,   -0.0
 SiIII    2335 ,  0.062,   0.062,    0.0
 SiIII  18.71m ,  0.017,   0.017,    0.0
 SII      6716 ,  0.498,   0.498,    0.0
 SII      6731 ,  0.345,   0.345,    0.0
 SIII     6312 , 0.0005,  0.0005,    0.0
 SIII     9069 , 0.0079,  0.0079,    0.0
 SIII     9531 ,  0.020,   0.020,    0.0
 ArII   6.985m ,  0.016,   0.016,    0.0
 FeII   1.643m ,  0.365,   0.365,    0.0
 FeII   17.93m ,  0.134,   0.134,    0.0
 NiII   6.636m ,  0.054,   0.054,    0.0
 Ltot          , 102.06,  102.06,   -0.0
 MV 5.2 Shock Test 01: 50km/s Precursor
 Quantity      ,   MVS5,   Model,  Diff%
 HBeta e10 4861,  0.930,   0.930,    0.0
 Lya      1215 ,  45.30,   45.30,    0.0
 HeI      5876 ,  0.060,   0.060,    0.0
 CII      2326 ,  3.209,   3.209,   -0.0
 NI       5200 ,  5.900,   5.900,    0.0
 NII      5755 , 0.0018,  0.0018,    0.0
 NII      6548 ,  0.069,   0.069,    0.0
 NII      6584 ,  0.202,   0.202,    0.0
 OI       6300 ,  10.17,   10.17,    0.0
 OII      3727 ,  0.471,   0.471,    0.0
 OII      7319 , 0.0033,  0.0033,    0.0
 OII      7330 , 0.0027,  0.0027,    0.0
 NeII   12.81m ,  0.082,   0.082,    0.0
 MgII     2798 ,  26.60,   26.60,    0.0
 SiIII    2335 ,  0.877,   0.877,   -0.0
 SiIII  18.71m , 0.0016,  0.0016,    0.0
 SII      6716 ,  14.90,   14.90,    0.0
 SII      6731 ,  10.23,   10.23,    0.0
 ArII   6.985m ,  0.015,   0.015,    0.0
 FeII   1.643m ,  12.05,   12.05,    0.0
