 menzel.local
 126.053u 1.021s 2:07.24 99.8%
 MV 5.2 Shock Test 01: 50km/s
 Quantity      ,   MVS5,   Model,  Diff%
 HBeta e6 4861 ,  1.060,   1.085,    2.3
 Lya      1215 , 92.125,  93.243,    1.2
 HeI      5876 , 0.0030,  0.0029,   -4.3
 CII      2326 ,  0.235,   0.244,    3.8
 CIII     1909 , 0.0042,  0.0043,    2.2
 NI       5200 ,  0.188,   0.192,    2.1
 NII      5755 , 0.0018,  0.0018,    3.4
 NII      6548 ,  0.045,   0.046,    0.8
 NII      6584 ,  0.133,   0.135,    0.8
 OI       6300 ,  0.347,   0.353,    1.9
 OII      3727 ,  0.338,   0.345,    2.2
 OII      7319 , 0.0037,  0.0038,    3.5
 OII      7330 , 0.0030,  0.0031,    3.5
 NeII   12.81m ,  0.011,   0.010,   -3.4
 MgII     2798 ,  1.298,   1.344,    3.6
 SiIII    1892 , 0.0016,  0.0016,    1.0
 SiIII    2335 ,  0.062,   0.064,    4.0
 SiIII  18.71m ,  0.017,   0.016,   -3.3
 SII      6716 ,  0.498,   0.501,    0.6
 SII      6731 ,  0.345,   0.347,    0.6
 SIII     6312 , 0.0005,  0.0005,    1.7
 SIII     9069 , 0.0079,  0.0078,   -1.0
 SIII     9531 ,  0.020,   0.020,   -1.0
 ArII   6.985m ,  0.016,   0.016,   -3.0
 FeII   1.643m ,  0.365,   0.362,   -1.0
 FeII   17.93m ,  0.134,   0.132,   -1.8
 NiII   6.636m ,  0.054,   0.053,   -2.7
 Ltot          , 102.06,  105.72,    3.6
 MV 5.2 Shock Test 01: 50km/s Structure
 Quantity      ,   MVS5,   Model,  Diff%
 TPre    kK    ,  9.583,   9.615,    0.3
 XHIPre        ,  0.987,   0.987,   -0.0
 TShock  kK    , 78.094,  78.119,    0.0
 Mach Number   ,  4.835,   4.827,   -0.2
 Alfven Mach   , 43.273,  43.273,    0.0
 R4   E17cm    , 0.0295,  0.0313,    6.1
 R3   E17cm    ,  0.244,   0.247,    1.0
 nH post       ,  3.538,   3.537,   -0.0
 nH4           , 28.836,  28.996,    0.6
 nH3           , 58.865,  58.878,    0.0
 menzel.local
 391.102u 2.830s 6:34.60 99.8%
 MV 5.2 Shock Test 02: 100km/s
 Quantity      ,   MVS5,   Model,  Diff%
 HBeta e5 4861 ,  0.663,   0.651,   -1.8
 Lya      1215 , 53.241,  54.059,    1.5
 HeI      5876 ,  0.108,   0.108,   -0.2
 HeII     4686 ,  0.046,   0.044,   -4.2
 CII      2326 ,  2.266,   2.340,    3.2
 CIII     1909 ,  5.911,   6.023,    1.9
 CIV      1549 ,  8.315,   8.391,    0.9
 NI       5200 ,  0.047,   0.050,    5.2
 NII      5755 ,  0.033,   0.034,    3.0
 NII      6548 ,  0.235,   0.242,    3.0
 NII      6584 ,  0.692,   0.713,    3.0
 NIII     1749 ,  0.459,   0.467,    1.9
 NIV      1485 ,  0.315,   0.318,    0.9
 OI       6300 ,  0.053,   0.056,    5.6
 OII      3727 ,  6.267,   6.463,    3.1
 OII      7319 ,  0.180,   0.185,    3.0
 OII      7330 ,  0.146,   0.150,    3.0
 OIII     1663 ,  1.362,   1.387,    1.8
 OIII     4363 ,  0.217,   0.220,    1.7
 OIII     4959 ,  0.821,   0.833,    1.4
 OIII     5007 ,  2.373,   2.407,    1.4
 OIV      1400 ,  0.402,   0.406,    0.9
 OIV      1406 ,  0.424,   0.428,    0.9
 OIV    25.89m ,  0.085,   0.086,    0.5
 NeII   12.81m ,  0.322,   0.324,    0.7
 NeIII  15.55m ,  0.140,   0.143,    2.0
 NeIV     2423 ,  0.186,   0.188,    0.8
 MgII     2798 ,  0.452,   0.482,    6.4
 SiIII    1892 ,  1.477,   1.521,    2.9
 SiIII    2335 ,  0.099,   0.105,    5.6
 SiIII  18.71m ,  0.082,   0.083,    1.2
 SiIV     1397 ,  1.926,   1.984,    3.0
 SII      6716 ,  0.453,   0.470,    3.8
 SII      6731 ,  0.336,   0.348,    3.7
 SIII     6312 ,  0.032,   0.033,    2.0
 SIII     9069 ,  0.093,   0.095,    1.8
 SIII     9531 ,  0.234,   0.239,    1.8
 SIV    10.51m ,  0.025,   0.026,    0.7
 ArII   6.985m ,  0.038,   0.038,    0.7
 FeII   1.643m ,  0.174,   0.180,    3.1
 FeII   17.93m ,  0.098,   0.099,    1.3
 NiII   6.636m ,  0.042,   0.042,    1.0
 Ltot          , 59.836,  59.779,   -0.1
 MV 5.2 Shock Test 02: 100km/s Structure
 Quantity      ,   MVS5,   Model,  Diff%
 TPre    kK    , 13.919,  13.892,   -0.2
 XHIPre        ,  0.665,   0.660,   -0.9
 TShock  kK    , 224.63,  223.71,   -0.4
 Mach Number   ,  6.993,   6.985,   -0.1
 Alfven Mach   , 86.551,  86.551,    0.0
 R4   E17cm    ,  0.138,   0.139,    1.3
 R3   E17cm    ,  0.243,   0.243,   -0.2
 nH post       ,  3.767,   3.766,   -0.0
 nH4           , 76.008,  76.134,    0.2
 nH3           , 124.41,  124.08,   -0.3
