 menzel.local
 127.534u 1.168s 2:08.92 99.8%
 MV 5.2 Shock Test 01: 50km/s
 Quantity      ,   MVS5,   Model,  Diff%
 HBeta e6 4861 ,  1.060,   1.085,    2.3
 Lya      1215 , 92.125,  93.243,    1.2
 HeI      5876 , 0.0030,  0.0029,   -4.3
 CII      2326 ,  0.235,   0.244,    3.8
 CIII     1909 , 0.0042,  0.0043,    2.2
 NI       5200 ,  0.188,   0.192,    2.1
 NII      5755 , 0.0018,  0.0018,    3.4
 NII      6548 ,  0.045,   0.046,    0.8
 NII      6584 ,  0.133,   0.135,    0.8
 OI       6300 ,  0.347,   0.353,    1.9
 OII      3727 ,  0.338,   0.345,    2.2
 OII      7319 , 0.0037,  0.0038,    3.5
 OII      7330 , 0.0030,  0.0031,    3.5
 NeII   12.81m ,  0.011,   0.010,   -3.4
 MgII     2798 ,  1.298,   1.344,    3.6
 SiIII    1892 , 0.0016,  0.0016,    1.0
 SiIII    2335 ,  0.062,   0.064,    4.0
 SiIII  18.71m ,  0.017,   0.016,   -3.3
 SII      6716 ,  0.498,   0.501,    0.6
 SII      6731 ,  0.345,   0.347,    0.6
 SIII     6312 , 0.0005,  0.0005,    1.7
 SIII     9069 , 0.0079,  0.0078,   -1.0
 SIII     9531 ,  0.020,   0.020,   -1.0
 ArII   6.985m ,  0.016,   0.016,   -3.0
 FeII   1.643m ,  0.365,   0.362,   -1.0
 FeII   17.93m ,  0.134,   0.132,   -1.8
 NiII   6.636m ,  0.054,   0.053,   -2.7
 Ltot          , 102.06,  105.72,    3.6
 MV 5.2 Shock Test 01: 50km/s Structure
 Quantity      ,   MVS5,   Model,  Diff%
 TPre    kK    ,  9.583,   9.615,    0.3
 XHIPre        ,  0.987,   0.987,   -0.0
 TShock  kK    , 78.094,  78.119,    0.0
 Mach Number   ,  4.835,   4.827,   -0.2
 Alfven Mach   , 43.273,  43.273,    0.0
 R4   E17cm    , 0.0295,  0.0313,    6.1
 R3   E17cm    ,  0.244,   0.247,    1.0
 nH post       ,  3.538,   3.537,   -0.0
 nH4           , 28.836,  28.996,    0.6
 nH3           , 58.865,  58.878,    0.0
