 menzel.local
 117.144u 0.209s 1:57.47 99.8%
 MV 5.2 Shock Test 01: 50km/s
 Quantity      ,   MVS5,   Model,  Diff%
 HBeta e6 4861 ,  1.060,   1.086,    2.4
 Lya      1215 , 92.125,  93.235,    1.2
 HeI      5876 , 0.0030,  0.0029,   -4.6
 CII      2326 ,  0.235,   0.244,    3.7
 CIII     1909 , 0.0042,  0.0043,    2.2
 NI       5200 ,  0.188,   0.191,    2.0
 NII      5755 , 0.0018,  0.0018,    3.4
 NII      6548 ,  0.045,   0.046,    0.8
 NII      6584 ,  0.133,   0.135,    0.8
 OI       6300 ,  0.347,   0.353,    1.8
 OII      3727 ,  0.338,   0.345,    2.1
 OII      7319 , 0.0037,  0.0038,    3.3
 OII      7330 , 0.0030,  0.0031,    3.3
 NeII   12.81m ,  0.011,   0.010,   -3.4
 MgII     2798 ,  1.298,   1.342,    3.4
 SiIII    1892 , 0.0016,  0.0016,    0.8
 SiIII    2335 ,  0.062,   0.064,    3.8
 SiIII  18.71m ,  0.017,   0.016,   -3.3
 SII      6716 ,  0.498,   0.500,    0.5
 SII      6731 ,  0.345,   0.347,    0.5
 SIII     6312 , 0.0005,  0.0005,    1.7
 SIII     9069 , 0.0079,  0.0078,   -1.0
 SIII     9531 ,  0.020,   0.020,   -1.0
 ArII   6.985m ,  0.016,   0.016,   -3.0
 FeII   1.643m ,  0.365,   0.361,   -1.1
 FeII   17.93m ,  0.134,   0.132,   -1.9
 NiII   6.636m ,  0.054,   0.053,   -2.8
 Ltot          , 102.06,  105.82,    3.7
 MV 5.2 Shock Test 01: 50km/s Precursor
 Quantity      ,   MVS5,   Model,  Diff%
 HBeta e10 4861,  0.930,   0.964,    3.6
 Lya      1215 , 45.300,  45.553,    0.6
 HeI      5876 ,  0.060,   0.059,   -2.7
 CII      2326 ,  3.209,   3.186,   -0.7
 NI       5200 ,  5.900,   5.821,   -1.3
 NII      5755 , 0.0018,  0.0018,   -0.6
 NII      6548 ,  0.069,   0.068,   -1.3
 NII      6584 ,  0.202,   0.200,   -1.3
 OI       6300 , 10.166,  10.023,   -1.4
 OII      3727 ,  0.471,   0.463,   -1.6
 OII      7319 , 0.0033,  0.0033,   -1.2
 OII      7330 , 0.0027,  0.0026,   -1.2
 NeII   12.81m ,  0.082,   0.080,   -2.3
 MgII     2798 , 26.604,  26.355,   -0.9
 SiIII    2335 ,  0.877,   0.870,   -0.7
 SiIII  18.71m , 0.0016,  0.0016,   -1.6
 SII      6716 , 14.899,  14.649,   -1.7
 SII      6731 , 10.229,   10.06,   -1.7
 ArII   6.985m ,  0.015,   0.015,   -1.2
 FeII   1.643m , 12.051,  11.813,   -2.0
 FeII   17.93m ,  3.806,   3.724,   -2.2
 NiII   6.636m ,  1.072,   1.048,   -2.3
 Ltot          , 125.59,  129.15,    2.8
 MV 5.2 Shock Test 01: 50km/s Structure
 Quantity      ,   MVS5,   Model,  Diff%
 TPre    kK    ,  9.583,   9.632,    0.5
 XHIPre        ,  0.987,   0.987,    0.0
 TShock  kK    , 78.094,  78.141,    0.1
 Mach Number   ,  4.835,   4.823,   -0.3
 Alfven Mach   , 43.273,  43.273,    0.0
 R4   E17cm    , 0.0295,  0.0320,    8.4
 R3   E17cm    ,  0.244,   0.247,    1.2
 nH post       ,  3.538,   3.536,   -0.1
 nH4           , 28.836,  29.258,    1.5
 nH3           , 58.865,  58.971,    0.2
 menzel.local
 314.638u 0.315s 5:15.04 99.9%
 MV 5.2 Shock Test 02: 100km/s
 Quantity      ,   MVS5,   Model,  Diff%
 HBeta e5 4861 ,  0.663,   0.654,   -1.5
 Lya      1215 , 53.241,  54.216,    1.8
 HeI      5876 ,  0.108,   0.108,   -0.3
 HeII     4686 ,  0.046,   0.044,   -3.7
 CII      2326 ,  2.266,   2.329,    2.8
 CIII     1909 ,  5.911,   5.998,    1.5
 CIV      1549 ,  8.315,   8.421,    1.3
 NI       5200 ,  0.047,   0.050,    4.7
 NII      5755 ,  0.033,   0.033,    2.7
 NII      6548 ,  0.235,   0.242,    2.6
 NII      6584 ,  0.692,   0.711,    2.6
 NIII     1749 ,  0.459,   0.466,    1.6
 NIV      1485 ,  0.315,   0.319,    1.1
 OI       6300 ,  0.053,   0.056,    5.1
 OII      3727 ,  6.267,   6.439,    2.8
 OII      7319 ,  0.180,   0.185,    2.7
 OII      7330 ,  0.146,   0.150,    2.7
 OIII     1663 ,  1.362,   1.383,    1.5
 OIII     4363 ,  0.217,   0.220,    1.4
 OIII     4959 ,  0.821,   0.830,    1.1
 OIII     5007 ,  2.373,   2.400,    1.1
 OIV      1400 ,  0.402,   0.407,    1.2
 OIV      1406 ,  0.424,   0.429,    1.2
 OIV    25.89m ,  0.085,   0.086,    0.6
 NeII   12.81m ,  0.322,   0.324,    0.6
 NeIII  15.55m ,  0.140,   0.142,    1.7
