Rest	F(line)
3425.5	40.509
3428.65	1.060
3444.07	12.091
3682.81	0.253
3686.83	0.466
3691.55	0.488
3697.15	0.597
3703.85	1.051
3707.25	0.144
3711.97	0.970
3714.43	0.171
3721.94	2.276
3726.03	8.642
3728.82	5.467
3734.37	1.840
3740.3	0.156
3749.49	2.040
3754.69	0.856
3759.87	2.742
3770.63	2.862
3791.28	0.278
3796.33	0.295
3797.9	4.028
3813.5	0.297
3819.62	0.349
3833.07	0.280
3835.38	5.788
3838.37	0.183
3858.07	0.603
3868.75	49.367
3888.65	11.024
3923.48	0.510
3967.44	12.342
3970.07	12.060
4025.6	1.541
4069.62	1.937
4098.24	2.186
4101.74	21.439
4143.76	0.154
4163.25	0.128
4186.9	0.290
4199.83	1.573
4227.69	0.813
4267.15	0.730
4340.47	40.919
4363.21	15.333
4471.5	1.130
4510.9	0.051
4541.59	2.725
4624.92	0.012
4624.92	0.069
4627.98	0.016
4631.89	0.218
4634.14	0.439
4640.64	1.142
4647.42	0.386
4650.25	0.382
4658.05	0.764
4658.05	0.700
4685.68	81.177
4711.37	7.329
4714.17	0.985
4724.89	1.354
4740.17	6.410
4861.33	100.000
4958.91	321.816
5006.84	755.034
5130.46	0.197
5145.48	0.157
5176.04	0.107
5191.82	0.114
5305.1	0.053
5308.9	0.104
5323.27	0.070
5334.87	0.121
5346.1	0.184
5411.52	7.759
5517.66	0.515
5537.6	0.478
5577.34	0.191
5592.24	0.150
5622.1	0.068
5625.8	4.903
5631.7	0.087
5639.41	0.022
5660.58	0.034
5677	0.130
5686.21	0.022
5695.92	0.045
5701.8	0.028
5721.2	0.094
5736.94	0.035
5754.6	0.287
5801.33	0.530
5806.57	0.071
5811.98	0.300
5820.4	0.033
5828.6	0.056
5837.38	0.042
5847.1	0.057
5857.81	0.052
5868	0.406
5875.66	5.360
5882.14	0.112
5896.79	0.093
5913.26	0.122
5931.78	0.127
5952.94	0.159
5977.03	0.173
6004.73	0.204
6036.7	0.201
6074.1	0.257
6086.9	0.151
6101.83	0.640
6118.2	0.280
6170.6	0.308
6233.8	0.371
6273.02	0.055
6300.3	1.226
6312.1	2.696
6363.77	0.433
6406.3	0.626
6434.73	1.505
6548.1	4.804
6560.1	16.423
6562.77	435.189
6580	0.210
6583.5	14.631
6678.16	1.572
6683.2	0.977
6716.44	2.098
6730.82	2.709
6795.1	0.207
6890.88	1.288
7005.67	3.549
