#"E (kev)" "Fv (kev/s/cm^2/kev)"
1.240700309077158e-07 1.687370289669017e+21
1.2522207398840916e-07 1.7188428169880768e+21
1.2638283682155016e-07 1.7509157842035634e+21
1.2755220613520696e-07 1.783364532129128e+21
1.2873005904515024e-07 1.8164728383223363e+21
1.2991626273059247e-07 1.8501827982769248e+21
1.3112453065706595e-07 1.8847952582557662e+21
1.3232725139474809e-07 1.919598941721009e+21
1.335522399437199e-07 1.9551501639198462e+21
1.3480012049947392e-07 1.9918558724476958e+21
1.360417005567059e-07 2.02880445022957e+21
1.373063644397032e-07 2.0666152119442276e+21
1.3856380490028567e-07 2.1046259350269266e+21
1.3984448930085188e-07 2.1438467034957926e+21
1.4114906815439796e-07 2.1840173345618094e+21
1.4244550046810078e-07 2.2240957851725409e+21
1.437659686068549e-07 2.265662876954359e+21
1.4509417718128381e-07 2.3077994912239995e+21
1.4644715640665228e-07 2.3509124877777185e+21
1.4779038821645716e-07 2.394238330601627e+21
1.4915848870848257e-07 2.438766839653979e+21
1.505521549662854e-07 2.484503375503642e+21
1.519348896739111e-07 2.5305044438921186e+21
1.5334325906280533e-07 2.5776755435393374e+21
1.5475867644719446e-07 2.625297003469221e+21
1.562004669617472e-07 2.674489884481168e+21
1.5764934041641146e-07 2.724450157867623e+21
1.591049383274119e-07 2.7749773104348377e+21
1.605668835352864e-07 2.826160696305423e+21
1.6205594423682836e-07 2.8787351824570306e+21
1.6355131941433667e-07 2.9322466613314464e+21
1.6507454883943029e-07 2.986948727342456e+21
1.6660404311496683e-07 3.0427137768225715e+21
1.6813935615627564e-07 3.0989222130888254e+21
1.697032292541592e-07 3.156942082585836e+21
1.7127282013765298e-07 3.215658932953595e+21
1.728476329168512e-07 3.2749101369926605e+21
1.7445167450466224e-07 3.3361177076527273e+21
1.760607789239617e-07 3.397877326093302e+21
1.776998437520994e-07 3.461437656559376e+21
1.793437856428387e-07 3.5257991542752684e+21
1.8099202174721489e-07 3.5908197471785955e+21
1.826708346697818e-07 3.6578036797866105e+21
1.8435368634133107e-07 3.725529451642505e+21
1.8606783279501472e-07 3.795169594360613e+21
1.877857286328376e-07 3.865594822915272e+21
1.895356414722209e-07 3.937973919598943e+21
1.9128897765605273e-07 4.011002639964845e+21
1.9304501463780272e-07 4.08501695975301e+21
1.948335912495537e-07 4.1611411655648996e+21
1.9662445468734676e-07 4.237969324422049e+21
1.9844854591765164e-07 4.3169041461628927e+21
2.0030679836570198e-07 4.3981225644957956e+21
2.0213429603733432e-07 4.478611476220026e+21
2.040289934348229e-07 4.563298355477615e+21
2.058911896908659e-07 4.6466958220333133e+21
2.078224973328573e-07 4.734406525386148e+21
2.0971945724766025e-07 4.821081048331088e+21
2.1168747808857839e-07 4.912165135346381e+21
2.136191992212738e-07 5.002142991640692e+21
2.1562396751427842e-07 5.096600462491701e+21
2.1759037339129395e-07 5.189867708474052e+21
2.196318479513468e-07 5.287649955072722e+21
2.2163278118563024e-07 5.384560622494146e+21
2.237108382757227e-07 5.485964486091401e+21
2.2578713540985587e-07 5.588293371985985e+21
2.278604791693587e-07 5.691427536247971e+21
2.299722537677772e-07 5.797451311786917e+21
2.3208011767249495e-07 5.904188150151516e+21
2.3422697924809479e-07 6.013889122268682e+21
2.3641393084549503e-07 6.126747769334563e+21
2.3859621328406886e-07 6.240374172106201e+21
2.408191593705664e-07 6.357140918749417e+21
2.4303629952539824e-07 6.474620727788285e+21
2.4529464394566194e-07 6.5956978502697e+21
2.4754595153175537e-07 6.717294493483547e+21
2.4983896678960086e-07 6.842170693150119e+21
2.5217485956852805e-07 6.970836859635046e+21
2.5450262750300677e-07 7.100120124417054e+21
2.568205980288052e-07 7.229892519955612e+21
