 Lambda(A),Species  ,Kind,Accuracy (1-5),Name
972.111,He II,,,HeII972
992.363,He II,,,HeII992
1025.272,He II,,,HeII1025
1084.942,He II,,,HeII1085
1215.131,He II,,,HeII1215
1215.67,H I,,,Lyalpha
1640.417,He II,,,HeII1640
1906.683,C III,,,CIII1907
1908.734,C III,,,CIII1909
2142.773,N II,,,NII2143
2323.56,C II,,,CII2324
2324.695,C II,,,CII2324.7
2325.408,C II,,,CII2325.4
2326.989,C II,,,CII2327
2328.127,C II,,,CII2328
2470.341,O II,,,OII2470
2733.296,He II,,,HeII2733
3187.744,He I,,,HeI3188
3203.097,He II,,,HeII3203
3721.629,S III,,,SIII3722
3726.032,O II,,,OII3726
3728.815,O II,,,OII3729
3868.764,Ne III,,,NeIII3869
3888.643,He I,,,HeI3889
3967.471,Ne III,,,NeIII3967
4068.6,S II,,,SII4069
4101.742,H I,,,Hdelta
4340.471,H I,,,Hgamma
4471.502,He I,,,HeI4472
4685.702,He II,,,HeII4686
4861.333,H I,,,Hbeta
4958.911,O III,,,OIII4959
5006.843,O III,,,OIII5007
5015.678,He I,,,HeI5016
5197.901,N I,,,NI5198
5200.257,N I,,,NI5200
5754.595,N II,,,NII5755
5875.664,He I,,,HeI5876
6300.304,O I,,,OI6300
6312.063,S III,,,SIII6312
6363.776,O I,,,OI6364
6548.052,N II,,,NII6549
6562.819,H I,,,Halpha
6583.454,N II,,,NII6583
6678.152,He I,,,HeI6678
6716.44,S II,,,SII6716
6730.816,S II,,,SII6731
7065.249,He I,,,HeI7065
7135.792,Ar III,,,ArIII7135
7319.989,O II,,,OII7320
7329.665,O II,,,OII7330
7330.735,O II,,,OII7331
9068.62,S III,,,SIII9069
9530.619,S III,,,SIII9531
10049.369,H I,,,Padelta
10123.592,He II,,,HeII10124
10830.171,He I,,,HeI10830
10938.086,H I,,,Pagamma
12818.07,H I,,,Pabeta
18750.976,H I,,,Paalpha
21655.302,H I,,,Brgamma
26251.521,H I,,,Brbeta
40522.694,H I,,,Bralpha
74598.413,H I,,,Pfund
89914.312,Ar III,,,ArIII89914
105104.947,S IV,,,SIV10.5
123719.090,H I,,,Humph
128135.475,Ne II,,,NeII12.8
155550.993,Ne III,,,NeIII15.6
187129.25,S III,,,SIII18.7
334795.273,S III,,,SIII33.5
348140.927,Si II,,,SiII34.8
518145.454,O III,,,OIII52
573394.495,N III,,,NIII57
631000.000,O I,,,OI631000
631851.641,O I,,,OI631851
883563.944,O III,,,OIII88
1456000.000,O I,,,OI1456000
1577361.705,C II,,,CII158
